,Lex Tb-PEX5-eGFP11_T222s_1_CH1_BIN1.0,Lex Tb-PEX5-eGFP11_T222s_1_CH2_BIN1.0,Lex Tb-PEX5-eGFP12_T244s_1_CH1_BIN1.0,Lex Tb-PEX5-eGFP12_T244s_1_CH2_BIN1.0,Lex Tb-PEX5-eGFP10_T200s_1_CH1_BIN1.0,Lex Tb-PEX5-eGFP10_T200s_1_CH2_BIN1.0
592,0.0,59,0.0,43,0.0,89
593,1.0,37,0.0,53,0.0,65
594,1.0,46,0.0,29,0.0,43
595,1.0,58,0.0,33,0.0,40
596,0.0,49,1.0,31,0.0,55
597,1.0,35,1.0,74,0.0,80
598,1.0,34,0.0,68,0.0,30
599,0.0,23,0.0,40,0.0,39
600,0.0,54,2.0,52,0.0,71
601,0.0,53,1.0,23,1.0,64
602,1.0,72,1.0,33,0.0,67
603,0.0,58,0.0,22,0.0,88
604,0.0,53,1.0,28,1.0,36
605,2.0,35,0.0,37,2.0,93
606,2.0,42,0.0,31,0.0,74
607,0.0,38,0.0,51,0.0,49
608,1.0,105,0.0,58,1.0,40
609,2.0,49,0.0,36,0.0,30
610,0.0,21,0.0,87,2.0,59
611,0.0,35,0.0,47,0.0,26
612,2.0,47,0.0,48,0.0,95
613,0.0,27,0.0,24,0.0,72
614,0.0,42,0.0,37,0.0,60
615,3.0,48,0.0,66,0.0,30
616,2.0,35,0.0,49,0.0,32
617,0.0,33,0.0,42,0.0,46
618,0.0,22,0.0,41,0.0,62
619,0.0,28,0.0,65,0.0,64
620,0.0,40,0.0,45,0.0,37
621,0.0,56,0.0,31,0.0,66
622,1.0,31,0.0,40,0.0,77
623,2.0,41,0.0,77,0.0,54
624,0.0,30,3.0,48,0.0,43
625,1.0,49,1.0,55,0.0,48
626,0.0,62,0.0,43,0.0,87
627,0.0,32,0.0,81,0.0,117
628,0.0,31,0.0,70,0.0,85
629,1.0,25,0.0,118,0.0,68
630,1.0,26,0.0,63,0.0,86
631,1.0,19,0.0,42,0.0,49
632,2.0,40,0.0,50,0.0,48
633,0.0,81,0.0,59,0.0,61
634,0.0,36,0.0,55,0.0,89
635,1.0,38,3.0,61,0.0,73
636,1.0,36,1.0,37,0.0,81
637,0.0,58,3.0,56,0.0,44
638,0.0,42,0.0,57,0.0,64
639,0.0,66,1.0,45,0.0,52
640,0.0,79,0.0,79,0.0,31
641,0.0,48,0.0,29,0.0,63
642,0.0,36,0.0,31,0.0,69
643,0.0,41,0.0,42,0.0,14
644,0.0,32,0.0,50,0.0,36
645,0.0,39,0.0,53,0.0,37
646,0.0,45,0.0,48,0.0,55
647,0.0,41,0.0,92,0.0,61
648,0.0,20,0.0,85,0.0,23
649,0.0,32,0.0,79,0.0,32
650,0.0,48,0.0,39,3.0,51
651,1.0,67,0.0,42,0.0,79
652,0.0,52,0.0,29,0.0,53
653,1.0,47,0.0,46,0.0,43
654,1.0,29,0.0,66,0.0,66
655,0.0,33,0.0,36,0.0,50
656,0.0,23,0.0,69,0.0,62
657,0.0,22,0.0,71,1.0,38
658,0.0,30,0.0,46,0.0,24
659,0.0,29,1.0,51,0.0,49
660,0.0,29,0.0,40,1.0,56
661,1.0,27,0.0,63,3.0,30
662,0.0,40,1.0,29,1.0,69
663,0.0,38,1.0,46,2.0,34
664,1.0,22,0.0,40,0.0,37
665,3.0,17,1.0,38,0.0,103
666,0.0,21,1.0,39,0.0,85
667,0.0,24,2.0,30,1.0,61
