2e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
4e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
6e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
8e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.4e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.6e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2.6e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3.4e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
4.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
0.001018,1.087229452726874,1.045142574917142,1.247315309018601,1.1950245509879593,1.1183210015828504,1.0705648889863035,1.3352040729515042,1.2939337283058399,1.3658704946228784,1.295646405900405,1.3100367719628618,1.2830451640350429,1.3454546890980437,1.2934161394137509,1.279026990246099,1.2248429743952285,1.257420058666574,1.20008490623185,1.1955119750976062,1.1426817405185068,
0.001146,1.0631465454813702,1.0442349157582624,1.24481928399929,1.1940141178533479,1.0847232420801536,1.0695324640351338,1.3265177640603154,1.2927367688491962,1.3425221197081718,1.294397465216928,1.30055832499642,1.281840862488077,1.3116471098932985,1.292228480232064,1.2696906964614394,1.2236823067485083,1.2378559969295129,1.1989176273708717,1.1549627189186464,1.141577190837581,
0.001274,1.0573950500539155,1.0433297630634457,1.2229718189272945,1.1930065909734835,1.0908469520481923,1.0685029585431858,1.3429142281509365,1.2915432092932508,1.3516033680808806,1.2931520808318502,1.3028659044278197,1.280639986291472,1.3455673180439012,1.291044204090198,1.2623339321321045,1.222524954747483,1.2454930716822572,1.1977537188614769,1.160349821134503,1.1404757579787117,
0.001402,1.0514273044213767,1.0424271083808379,1.2047206771788905,1.1920019606485834,1.108517834718042,1.067476362577318,1.2955559054538583,1.290353038152953,1.3085219667660857,1.2919102406713365,1.3052997225329843,1.2794425238512905,1.329739943102732,1.289863299572659,1.230451074816456,1.2213709071704208,1.1753280562900619,1.1965931692982816,1.171849721820086,1.139377431324188,
0.00153,1.0444236311727628,1.0415269432880996,1.2025816675711727,1.1910002172118515,1.1266712344029925,1.0664526662394005,1.3062700835561796,1.2891662439831915,1.3019861294968709,1.2906719327038738,1.3046256902879017,1.278248463614036,1.3232919219783301,1.288685755303551,1.2374767656126808,1.2202201528346834,1.208651837481256,1.1954359673155264,1.1819721612319851,1.138282200293829,
0.001786,1.0609276195398338,1.0397340483298279,1.197019616971306,1.1890053524999675,1.0729790820970884,1.0644139330292186,1.28527650273262,1.2868027409736786,1.3182937603824743,1.288205865432747,1.3144231609164791,1.2758705037356606,1.3027715448935964,1.2863407022041864,1.2169331224921456,1.2179284793512768,1.2150174574611572,1.1931315608256066,1.1409657121269625,1.136100982971729,
0.002042,1.0534472016487448,1.0379510113962676,1.1924272112348573,1.1870219201589338,1.0624430693451825,1.0623866804231288,1.3015265116490164,1.284452609497256,1.2857999069678976,1.285753783607067,1.2768701032466259,1.2735060150317423,1.2775651460534536,1.2840089545715863,1.2336806897306936,1.215649845612818,1.198287443269938,1.190840409252913,1.1644888434897995,1.1339320221164735,
0.002298,1.0361396747874252,1.0361777661606553,1.1830018753116407,1.185049844030466,1.0634348382818328,1.0603708304838666,1.2989901059267803,1.2821157594165424,1.2685033787639526,1.283315592482994,1.2905989687054649,1.2711549065156231,1.2879085313915608,1.281690422809938,1.2268558618664838,1.2133841635516034,1.200888376019713,1.1885624230838188,1.141645191065435,1.1317752344240453,
0.002554,1.0447888527912124,1.0344142467585398,1.1732901417572252,1.1830890484733398,1.0540616419610445,1.0583663058224677,1.278535105825845,1.2797921012198066,1.281608041402327,1.280891197979519,1.2814325553707426,1.2688170878340963,1.2739554923665273,1.2793850179437607,1.2042929808410523,1.2111313457123318,1.2059173594348442,1.1862975134254903,1.1263043262182952,1.1296305371781028,
0.00281,1.0342788915328816,1.0326603877845149,1.178479910884028,1.1811394583598587,1.0588682307899808,1.0563730295943556,1.2588067554170672,1.2774815460165796,1.2602789871107656,1.2784805066737623,1.258779629659746,1.266492469262943,1.262833398789125,1.2770926516135699,1.2223507381975873,1.2088913052477976,1.1839168317615534,1.1840455920015385,1.1101687156986948,1.127497848245771,
