,e24-HeLa-GFP-SNAP_c07_run36_T1P1R2_CH1_BIN1.0,e24-HeLa-GFP-SNAP_c07_run36_T1P1R3_uncorrupted_CH1_BIN1.0,e24-HeLa-GFP-SNAP_c04_run33_T1P1R1_CH1_BIN1.0,e24-HeLa-GFP-SNAP_c02_run30_T1P1R1_CH1_BIN1.0,e24-HeLa-GFP-SNAP_c07_run36_T1P1R1_CH1_BIN1.0
448,14632.0,14717.0,21702.0,15210.0,14370
449,14885.0,14603.0,21588.0,15006.0,14367
450,14955.0,14561.0,21573.0,15248.0,14379
451,14916.0,14394.0,21601.0,14650.0,14573
452,14539.0,14509.0,21697.0,15089.0,14211
453,14606.0,14947.0,21538.0,15033.0,14428
454,14702.0,14839.0,21534.0,15134.0,14238
455,14536.0,14559.0,21477.0,14940.0,14260
456,14430.0,14745.0,21561.0,14956.0,14309
457,14578.0,14699.0,21415.0,15040.0,14346
458,14102.0,14487.0,21637.0,15068.0,14257
459,14295.0,14532.0,21536.0,15333.0,13990
460,14485.0,14408.0,21605.0,15308.0,14212
461,14501.0,14299.0,21692.0,15108.0,14164
462,14760.0,14146.0,22132.0,15262.0,14125
463,14366.0,14076.0,22005.0,15151.0,14425
464,14515.0,14349.0,21675.0,15290.0,14510
465,14679.0,14295.0,21822.0,15334.0,14415
466,14356.0,14292.0,21822.0,15298.0,14497
467,14671.0,14641.0,21686.0,15170.0,14331
468,14458.0,14502.0,21781.0,15159.0,14508
469,14594.0,14590.0,22057.0,15032.0,14493
470,14775.0,14647.0,21755.0,15067.0,14291
471,14669.0,14401.0,21610.0,15017.0,14390
472,14662.0,14692.0,21582.0,14970.0,14366
473,14663.0,14598.0,21530.0,14881.0,14646
474,14549.0,14928.0,21385.0,14847.0,14000
475,14431.0,14839.0,21506.0,15033.0,14257
476,14468.0,14642.0,21711.0,15392.0,14572
477,14812.0,14652.0,21160.0,15247.0,14449
478,14554.0,14586.0,21257.0,15511.0,14283
479,14642.0,14633.0,21837.0,15345.0,14484
480,14737.0,14592.0,21831.0,15251.0,14016
481,14826.0,14705.0,21782.0,15077.0,14511
482,14441.0,14171.0,21817.0,15165.0,14426
483,14535.0,14450.0,21809.0,15027.0,14228
484,14593.0,14158.0,21743.0,15209.0,14271
485,14550.0,14371.0,21865.0,15422.0,14198
486,14648.0,14715.0,21612.0,15390.0,14204
487,14756.0,14397.0,21690.0,15094.0,14516
488,14333.0,14827.0,21383.0,15302.0,14194
489,14492.0,14574.0,21697.0,15078.0,14364
490,14605.0,14584.0,21867.0,15161.0,14597
491,14572.0,14775.0,21798.0,15492.0,14600
492,14355.0,14258.0,21893.0,14951.0,14321
493,14615.0,14594.0,21515.0,15362.0,14326
494,14677.0,14519.0,22062.0,14986.0,14498
495,14372.0,14646.0,21651.0,15107.0,14386
496,14333.0,14816.0,21691.0,15143.0,14855
497,14649.0,14667.0,21541.0,14919.0,14475
498,14805.0,14390.0,21758.0,15169.0,14407
499,14277.0,14509.0,21386.0,15114.0,14799
500,14452.0,15122.0,21681.0,15197.0,14342
501,14599.0,14744.0,21898.0,15611.0,14350
502,14501.0,14548.0,21491.0,15010.0,14514
503,14506.0,14535.0,21370.0,15244.0,14689
504,14320.0,14648.0,21094.0,14943.0,14440
505,14708.0,14638.0,21467.0,14904.0,14713
506,14662.0,14546.0,21091.0,15241.0,14706
507,14500.0,14369.0,21203.0,14940.0,14481
508,14396.0,14796.0,21522.0,14933.0,14245
509,14456.0,14352.0,21558.0,15076.0,14237
