To be ignored?,Number,Name,Correlation,Effective Volume fl,Background,Diffusion Amplitude 1,Diffusion Time 1 µs,Diffusion Anomaly 1,Structural Parameter,Triplet Amplitude 1,Triplet Time 1 µs,Number Molecules,Concentration nM/l,Diffusion Coefficient 1 µm²/s,Lateral Focal Radius µm,Axial Focal Radius µm,χ²,Part
,200,T1  P1  R2,HyD 2,1,0.00014229841606757,0.00174245154934751,952.529254837038,1,5,0.134238719371492,40,662.889484907975,1100.75379003267,28.5714189984013,0.329940070001714,1.64970035000857,0.702486960005985,1
,201,T1  P1  R3,HyD 2,1,0.0000198233510575975,0.00184727942721525,775.646095296872,1,5,0.0262752269604312,40,555.94417875732,923.166946747808,35.0870230807616,0.329940070001714,1.64970035000857,0.847446173743646,1
,202,T1  P1  R3,HyD 2,1,0.0000256959278315714,0.00204958422890847,939.757366181417,1,5,0.199051675448055,40,609.157691438781,1011.53005568021,28.9597224002288,0.329940070001714,1.64970035000857,0.702965717388899,1
,203,T1  P1  R3,HyD 2,1,0.0000761784350457474,0.00167768772359844,722.573025730344,1,5,0.208332615437647,40,752.91529616565,1250.24515352354,37.6641688508593,0.329940070001714,1.64970035000857,0.753724348421917,1
,204,T1  P1  R3,HyD 2,1,0.0000475323180772034,0.00142927297088853,1111.04816382919,1,5,0.133065903436511,40,807.046828319043,1340.13266951935,24.4949889070408,0.329940070001714,1.64970035000857,0.877386417559894,1
,205,T1  P1  R3,HyD 2,1,0.000225679762637395,0.00141414078188572,767.906397721159,1,5,0.16948881094508,40,851.45532368781,1413.87470450367,35.4406637696308,0.329940070001714,1.64970035000857,0.754965174856782,1
,206,T1  P1  R3,HyD 2,1,0.000118928933115299,0.00174386736626653,1104.71062758545,1,5,0.270458915081471,40,786.025788085507,1305.22641405098,24.6355124759392,0.329940070001714,1.64970035000857,0.684741008185043,1
,207,T1  P1  R3,HyD 2,1,0.00018332838910453,0.00162390421312503,924.496856367151,1,5,0.139873371283443,40,715.94094100455,1188.84779769847,29.4377555323735,0.329940070001714,1.64970035000857,0.924115158777342,1
,208,T1  P1  R3,HyD 2,1,0.000836203302381272,0.0017721572025321,1447.91578499598,1,5,0.270964985658123,40,774.014984689714,1285.28200753941,18.7960603304421,0.329940070001714,1.64970035000857,0.572821577720917,1
,209,T1  P1  R3,HyD 2,1,0.000202772423022868,0.00180851819939135,1124.17729050515,1,5,0.177532641051996,40,672.292776978963,1116.36832250238,24.2089149799093,0.329940070001714,1.64970035000857,0.620842658668038,1
,210,T1  P1  R3,HyD 2,1,0.0000010551191922663,0.0017811777609417,744.126876536008,1,5,0.131827298195932,40,646.675801248289,1073.83033726246,36.5732152759666,0.329940070001714,1.64970035000857,0.917049758440318,1
,211,T1  P1  R1,HyD 2,1,0.0000372704049238653,0.00168597325105886,820.642855670273,1,5,0.159186417884714,40,705.422977229338,1171.38230947972,33.1631625866719,0.329940070001714,1.64970035000857,0.464607345337722,1
