To be ignored?,Number,Name,Correlation,Effective Volume fl,Background,Diffusion Amplitude 1,Diffusion Time 1 µs,Diffusion Anomaly 1,Structural Parameter,Triplet Amplitude 1,Triplet Time 1 µs,Number Molecules,Concentration nM/l,Diffusion Coefficient 1 µm²/s,Lateral Focal Radius µm,Axial Focal Radius µm,χ²,Part
x,11,T1  P1  R1,HyD 2,1,-0.0000219796130561031,0.00143086048551445,5256.4408120859,1,5,0.736508573253286,40,2652.3829070904,4404.38505070411,5.17747910061301,0.329940070001714,1.64970035000857,0.102535531229186,1
,12,T1  P1  R1,HyD 2,1,0.0000144880687432228,0.000146529162804576,1047.28750147107,1,5,0.26507199880689,40,9286.05255290238,15419.8516868447,25.9862859147621,0.329940070001714,1.64970035000857,0.0159262478724656,1
,13,T1  P1  R2,HyD 2,1,0.0000100888259998305,0.000130663372945009,797.156067833102,1,5,0.167204785806592,40,9189.8392426388,15260.0857404307,34.1402562764936,0.329940070001714,1.64970035000857,0.0134272660067926,1
,14,T1  P1  R2,HyD 2,1,0.0000196393773958296,0.000137857275487862,1054.98662089913,1,5,0.15433351015068,40,8577.70660013306,14243.6156627156,25.7966422597751,0.329940070001714,1.64970035000857,0.0264311029216247,1
,15,T1  P1  R2,HyD 2,1,0.0000152809525038085,0.00013587561451045,770.087483128685,1,5,0.141637004252817,40,8574.07922203968,14237.5922602103,35.3402867134203,0.329940070001714,1.64970035000857,0.0207630947697555,1
,16,T1  P1  R3,HyD 2,1,0.0000191525640273665,0.000123788273960406,1035.98582818692,1,5,0.108363081669418,40,9060.08871835629,15044.6299448353,26.2697729136055,0.329940070001714,1.64970035000857,0.0143650247702312,1
,17,T1  P1  R3,HyD 2,1,0.0000176197984481323,0.000142923991136535,1074.63499826591,1,5,0.248040232594585,40,9304.65467653421,15450.7412371492,25.3249824285453,0.329940070001714,1.64970035000857,0.016097525926977,1
,18,T1  P1  R3,HyD 2,1,0.000011881485938226,0.000118903290693476,671.6045054503,1,5,0.0164291133607245,40,8550.67619865706,14198.7306290136,40.5225281059374,0.329940070001714,1.64970035000857,0.0157705513237998,1
x,19,T1  P1  R1,HyD 2,1,-0.000026442962877194,0.0016124911021945,2374.88585223264,1,5,0.322417558947012,40,915.251670102399,1519.81102074475,11.4595454861963,0.329940070001714,1.64970035000857,0.0632533269140395,1
,20,T1  P1  R1,HyD 2,1,0.0000257348422055108,0.0000939251054156647,910.904334683731,1,5,0.070222981574779,40,11450.8968208866,19014.659851806,29.8770259531515,0.329940070001714,1.64970035000857,0.00764255807499302,1
x,21,T1  P1  R1,HyD 2,1,0.00000976214992783276,0.000886431573759194,1017.73233418132,1,5,0.556981476394913,40,2546.43677595055,4228.45737641361,26.7409332828913,0.329940070001714,1.64970035000857,0.0653744048528462,1
,22,T1  P1  R2,HyD 2,1,0.0000147717097529427,0.0000923617424312762,743.197277468632,1,5,0.0426426965771614,40,11309.250604987,18779.4507972878,36.6189614430237,0.329940070001714,1.64970035000857,0.0084746086666764,1
,23,T1  P1  R2,HyD 2,1,0.00000859805713426678,0.0000948230119423572,663.117343372483,1,5,0.0881080316608888,40,11564.926136658,19204.0099687831,41.0411712499832,0.329940070001714,1.64970035000857,0.00615824611428255,1
,24,T1  P1  R2,HyD 2,1,0.0000233055922513612,0.000103918076681013,909.826748968607,1,5,0.151740947518014,40,11344.3703662516,18837.768527765,29.9124118729587,0.329940070001714,1.64970035000857,0.00753433196212449,1
