,name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),AR1,stdev(AR1),alpha1,stdev(alpha1),N (mom),bri (kHz),fit_with,correlator,artifact,correction,correlator-fit_with
23,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488103_T1232s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0005121966300341,,0.0703855479177355,,14.2074620370757,24.47905838064145,1,,0.0402669121111756,,5,,1.0,,72.62725525486188,4.788872858540683,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
24,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488104_T1238s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0005959433620442,,0.0683905962062805,,14.62189329339647,23.91799448704321,1,,0.0399474067917141,,5,,1.0,,73.62986946939256,4.750026879619874,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
25,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488113_T1352s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0004958050176809,,0.0704542693628108,,14.19360400787646,24.55668579619022,1,,0.040317626049404,,5,,1.0,,71.77702581217311,4.856223937630628,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
26,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488125_T1496s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0005134744417946,,0.0699923233090681,,14.28728112916408,24.345458877938007,1,,0.0392484155454234,,5,,1.0,,72.00285709325715,4.831027966687996,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
27,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488129_T1537s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0005978405724379,,0.0689878931087372,,14.495296999776778,24.163101016020928,1,,0.038494125385024,,5,,1.0,,75.44669016181254,4.642600584798292,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
28,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488131_T1561s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0004525460445044,,0.0690943083290949,,14.4729721475323,24.3068177263062,1,,0.0384743345205194,,5,,1.0,,74.54731001346165,4.719278202779457,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
29,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488135_T1610s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0006028088298934,,0.0676158947416527,,14.78942198163327,23.7991373650902,1,,0.0401702916303596,,5,,1.0,,74.46768176717248,4.726790027016145,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
30,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488150_T1789s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0005800303343875,,0.0680164933708896,,14.70231631241356,23.84509907452778,1,,0.0393345347691306,,5,,1.0,,75.57472028468631,4.639060870216,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
31,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488153_T1834s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0005193786444851,,0.0700463264764813,,14.27626615559574,24.418506824673905,1,,0.0390201951098688,,5,,1.0,,73.75389112156414,4.726835928204864,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
32,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488157_T1883s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0006611370261554,,0.0696812361839791,,14.35106572104581,24.25333724391033,1,,0.0388732489493218,,5,,1.0,,73.69472463014472,4.723250583676774,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
