Time (ms),2022-02-02_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4885_T51s_1_correlation-CH2_2,2022-02-02_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4885_T51s_1_correlation-CH2_2 fitted model: ,2022-02-02_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48889_T1067s_1_correlation-CH2_2,2022-02-02_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48889_T1067s_1_correlation-CH2_2 fitted model: ,2022-02-02_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48899_T1187s_1_correlation-CH2_2,2022-02-02_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48899_T1187s_1_correlation-CH2_2 fitted model: ,
0.01433,0.2699605163247645,0.2651877510128177,0.18074227451516944,0.17770384438882247,0.22849472555702133,0.22490933143646127,
0.016378,0.26921516104854004,0.26512289661439653,0.17877976798938122,0.17760023942107867,0.22682684614395132,0.22483198848490904,
0.018426,0.2683773186209448,0.2650580748522485,0.17936280654832126,0.17749675105718146,0.22747074782008792,0.22475469683031501,
0.020474,0.26770013602262055,0.2649932857017591,0.17718555358607713,0.17739337910050368,0.22550397457966587,0.22467745642169187,
0.022522,0.2663777697301646,0.2649285291383381,0.17719374112079156,0.1772901233548601,0.2251038120956299,0.22460026720811982,
0.02457,0.265823743402944,0.2648638051374202,0.17544055091734645,0.177186983624506,0.2250271067037779,0.2245231291387466,
0.028666,0.2645258693618555,0.26473445472495594,0.17459096588768808,0.17698105142888304,0.223262335212697,0.22436900622952427,
0.032762,0.2635617101593757,0.26460523426833693,0.17340782673117472,0.17677558095644222,0.22221172831071834,0.22421508728855086,
0.036858,0.26260223808257654,0.26447614357192706,0.1722532741420595,0.17657057065696186,0.2212965673666969,0.2240613719114245,
0.040954,0.2616961598076182,0.26434718244048294,0.17163636033645457,0.17636601898715207,0.2197774345752792,0.22390785969481156,
0.04505,0.2613614507907238,0.26421835067915267,0.17072639930416234,0.1761619244106163,0.21899385380945313,0.22375455023644328,
0.049146,0.2610983316235107,0.26408964809347457,0.16969569137398377,0.17595828539781258,0.21868300557052467,0.22360144313511215,
0.057338,0.2601914172093731,0.2638326296731758,0.16805291166722536,0.1755523679792782,0.2174190297066112,0.22329583440401696,
0.06553,0.25854027267938706,0.26357612563166793,0.1669039198190685,0.1751482546308634,0.21569915210295454,0.22299103031295936,
0.073722,0.25827560151347684,0.2633201344272183,0.16642169650700023,0.17474593335914063,0.2150602735504903,0.2226870276901312,
0.081914,0.2573639151631102,0.26306465452424893,0.16521140754505725,0.17434539227675466,0.21477534376475926,0.22238382338037266,
0.090106,0.2564065000320055,0.2628096843933065,0.16493002268618473,0.17394661960125243,0.2142060337998688,0.2220814142450631,
0.098298,0.25605736400739554,0.26255522251103136,0.16382986589262893,0.17354960365392869,0.21318687694508043,0.22177979716201318,
0.114682,0.2552926246129932,0.26204781742933264,0.16244507330479552,0.17276079574091208,0.21202433136367715,0.22117892674544629,
0.131066,0.2538911743189265,0.2615424272130062,0.16110449036962304,0.1719788771400905,0.21070000867574112,0.22058118747771802,
0.14745,0.2528809462225856,0.2610390398914853,0.16000290233870085,0.1712037580424284,0.20951246125705536,0.2199865549619861,
0.163834,0.2518486058463736,0.260537643588839,0.15915739044618293,0.17043535019310482,0.20843218656309337,0.2193950050542024,
0.180218,0.2514159464896717,0.2600382265228384,0.15830538292622953,0.16967356685803708,0.20752117633466072,0.2188065138598471,
0.196602,0.25068559830542547,0.25954077700403483,0.15743287647533655,0.168918322791266,0.20701135665267745,0.2182210577307137,
0.22937,0.2493060012325783,0.25855173430866374,0.15584218221146773,0.16742711872953184,0.2057166799370651,0.21705915728790684,
0.262138,0.2482569403551178,0.25757042380836365,0.1547589904181299,0.16596108461518208,0.20402171116122036,0.21590911934730683,
0.294906,0.24714783195926104,0.25659675523601955,0.15357064481673155,0.16451958891387405,0.2030770010484264,0.2147707632738334,
0.327674,0.2460259135394689,0.25563063972410255,0.15242466520118914,0.16310202104317154,0.20218359412542664,0.21364391208127953,
0.360442,0.24504849347316648,0.25467198977764804,0.15167115162913136,0.16170779051081202,0.20118292409098926,0.21252839234063903,
0.39321,0.24429747557882986,0.25372071924785927,0.15057228093573594,0.16033632609515766,0.20024162032513138,0.21142403409118452,
0.458746,0.24263844273923563,0.251839978419778,0.14879497234470684,0.1576595024395656,0.19841555451739157,0.20924813904927073,
0.524282,0.24099298078493914,0.24998775400744275,0.1471714573767442,0.1550673370074323,0.19645815568509084,0.2071149334204576,
0.589818,0.23945439162033288,0.24816340272659893,0.14587095393033422,0.15255587888258523,0.19488959865514044,0.20502317389980235,
0.655354,0.2379836420742072,0.24636630049677072,0.14432408083498371,0.15012141922384142,0.1932365762938717,0.20297166499779312,
0.72089,0.23630700304048613,0.24459584172996424,0.14266799012766396,0.14776047300463424,0.19156752898418716,0.20095925676361384,
0.786426,0.2349466411415002,0.2428514386507533,0.14122247825709167,0.14546976238098924,0.1900574252499776,0.1989848426372703,
0.917498,0.23188077998418666,0.2394385336437097,0.13811820184603718,0.141086882747612,0.18682571613492827,0.19514577537019498,
1.04857,0.22910455511511874,0.23612321551385698,0.13544866994215576,0.1369501565530935,0.18412949385338928,0.19144640424857165,
1.179642,0.2264082442111255,0.23290136050977903,0.13266566489472975,0.1330394297315599,0.18200963505630008,0.18787924591910177,
1.310714,0.22376422841775234,0.22976907399145022,0.13030369496477245,0.12933668987116861,0.17957940204735512,0.18443734213630403,
1.441786,0.22091326985413873,0.22672267473673827,0.1278518631877077,0.1258257891001523,0.1772936900855857,0.1811142144980202,
1.572858,0.2183420199561812,0.22375868052042763,0.12538675242137098,0.12249220891521392,0.1750907680811089,0.1779038237837481,
1.835002,0.2131147053609097,0.21806489473081467,0.12071698009581122,0.11630590929581099,0.17073619806051687,0.1717990761780498,
2.097146,0.2080079496445013,0.21266336003917138,0.11614492104021568,0.1106872981305841,0.16637508682053448,0.16608226533200446,
2.35929,0.20311967011160048,0.20753215565632713,0.11161602379374957,0.10556174387640162,0.16217266211363057,0.16071758264939914,
2.621434,0.19835866327473695,0.20265149952351455,0.10760613683973319,0.10086714706074715,0.1582546740720272,0.15567349491569957,
2.883578,0.1935004188979288,0.19800349368839812,0.10338117356733867,0.0965514157978802,0.15447840268231605,0.1509221247168478,
3.145722,0.18900156210325902,0.19357190521182668,0.09910054366606125,0.09257052791541961,0.15120672914448785,0.1464387355695405,
3.67001,0.18123333483640036,0.18530026358107007,0.0898370754098341,0.08546884043468139,0.14511988441231316,0.13819014655215084,
4.194298,0.17384594392569563,0.1777334218818006,0.08153427198386565,0.07932163742414895,0.13903134703851827,0.1307779288138811,
4.718586,0.16768130025767958,0.1707850694206805,0.07386074709312229,0.07394892199986156,0.13267158787023559,0.12408115880701863,
5.242874,0.1623511132840505,0.16438243505517267,0.06785382962442177,0.06921327400670142,0.12680212984799644,0.11800115077260936,
5.767162,0.1570183153732687,0.1584637324559901,0.06404680218792391,0.0650079640593775,0.12134195473302567,0.11245656954858921,
6.29145,0.15214299955937594,0.1529761627888864,0.06051887358898589,0.06124883880286082,0.11670552043486837,0.10737977797992738,
7.340026,0.14323327630477678,0.1431190242242702,0.05460573300170912,0.05481301957790339,0.1093241529218778,0.09841154705328677,
8.388602,0.13468183603151584,0.1345159074585247,0.049411611667504074,0.04950536630158273,0.10197776424244664,0.09073898668163746,
9.437178,0.12778654405373358,0.1269421778270774,0.045387218080135794,0.04505403737572306,0.09387192360772434,0.08410074978485003,
10.485754,0.12177468723710816,0.12022382454229985,0.04207522492800009,0.041268008335568235,0.08619972287505062,0.07830133918326772,
11.53433,0.1158472561665378,0.11422396059239659,0.03859797002785048,0.03800911747055411,0.07999023182464793,0.07319159712477957,
12.582906,0.11164094044111117,0.10883342405002158,0.036062656648384595,0.035174963824681084,0.07479461073441396,0.06865574358175595,
14.680058,0.10826488470958884,0.09954406840487748,0.03114515726339362,0.03048860617911779,0.06330917673277159,0.060959090353614034,
16.77721,0.10478199244128739,0.09182481935500253,0.027368275947082132,0.02677465453163768,0.05223739767055835,0.054676609203132595,
18.874362,0.09947932301440776,0.08530969797424984,0.024429211950128593,0.023760785864568323,0.04278097414011284,0.04945272421843516,
20.971514,0.09511171923692263,0.07973823853229019,0.022617921207933156,0.02126758315161863,0.035209537819219205,0.045041801049090356,
23.068666,0.09167468195056161,0.07492002108177677,0.020335104468993004,0.01917203580309088,0.02881696134862488,0.041268706397049416,
25.165818,0.08466135348927306,0.07071260928842701,0.018624718555367847,0.0173869933081837,0.02390433207160192,0.038005209451697414,
29.360122,0.0669017346459182,0.06371984159551594,0.016918109518584856,0.014510712182507967,0.020039404449155862,0.03264552313804831,
33.554426,0.06093836619269588,0.05814570834685778,0.01613028299585273,0.012297514448502338,0.01957935819860568,0.028430691100052082,
37.74873,0.0576736417667838,0.05360064603396402,0.01693402240492925,0.010544685395593159,0.017647842154456583,0.02503200385112823,
41.943034,0.0577988517929815,0.0498256516704353,0.017794437764252713,0.00912425459082411,0.015927582267630802,0.022235439541498418,
46.137338,0.056919727624848315,0.04664182235820661,0.016376627374915298,0.007951481456745088,0.016169856458402743,0.019895670620224667,
50.331642,0.05159667350993136,0.04392161808987241,0.011715901343803958,0.00696804200125691,0.013822904835289584,0.017910559600942306,
58.72025,0.04013400952042945,0.03952204832794905,0.0062488500126740565,0.005414589754223485,0.012206618223050691,0.014727935568868585,
