Time (ms),2022-02-03_multipletau_CH2_BIN0dot001_us_2Hs-PEX5-eGFP5_T91s_1_correlation-CH2_2,2022-02-03_multipletau_CH2_BIN0dot001_us_2Hs-PEX5-eGFP5_T91s_1_correlation-CH2_2 fitted model: ,2022-02-03_multipletau_CH2_BIN0dot001_us_Hs-PEX5-eGFP1_T0s_1_correlation-CH2_2,2022-02-03_multipletau_CH2_BIN0dot001_us_Hs-PEX5-eGFP1_T0s_1_correlation-CH2_2 fitted model: ,2022-02-03_multipletau_CH2_BIN0dot001_us_Hs-PEX5-eGFP2_T26s_1_correlation-CH2_2,2022-02-03_multipletau_CH2_BIN0dot001_us_Hs-PEX5-eGFP2_T26s_1_correlation-CH2_2 fitted model: ,
0.03,0.05877486221238742,0.06067575123642656,0.05924601376507519,0.060682001700357396,0.05789751616253244,0.05955121174369345,
0.032,0.058530842272678164,0.06017986526489711,0.058365944123456845,0.060206428482977796,0.05764217858284834,0.059072401664913204,
0.036000000000000004,0.05738622828574514,0.05921171668935375,0.057439312528531,0.059277041144322834,0.05635907529598731,0.058137230315964496,
0.04,0.05573981268224586,0.058273835934836954,0.055959995847132626,0.05837557715344457,0.05538963172191248,0.05723084008056351,
0.044,0.05517733324066914,0.0573648264491784,0.05528934903290207,0.057500797602065695,0.054138813967347654,0.0563519233842348,
0.048,0.05421265288570735,0.056483376292002,0.05472623266800116,0.0566515358025645,0.05402155710759932,0.0554992506757574,
0.052000000000000005,0.05386036498492741,0.05562825182245662,0.05389529982264017,0.05582669210105288,0.05347465079093345,0.05467166469312877,
0.056,0.05303104797198477,0.05479829194373582,0.05256981438218235,0.05502522913115675,0.05196101357377339,0.05386807522788621,
0.06,0.05182275854040237,0.05399240284791665,0.05205893948972848,0.05424616746542412,0.051622327764703366,0.05308745433797526,
0.064,0.05128718669436187,0.05320955321110112,0.05164780962814344,0.05348858162603183,0.05066979421356287,0.05232883196496396,
0.07200000000000001,0.05005474677390655,0.05170913341185187,0.05025786040477687,0.05203438357279969,0.04939756791104316,0.050873968177697904,
