Time (ms),2022-02-19_multipletau_CH2_BIN0dot001_us_eGFP1-5uW_T0s_1_correlation-CH2_2,2022-02-19_multipletau_CH2_BIN0dot001_us_eGFP1-5uW_T0s_1_correlation-CH2_2 fitted model: ,2022-02-19_multipletau_CH2_BIN0dot001_us_eGFP2-5uW_T25s_1_correlation-CH2_2,2022-02-19_multipletau_CH2_BIN0dot001_us_eGFP2-5uW_T25s_1_correlation-CH2_2 fitted model: ,2022-02-19_multipletau_CH2_BIN0dot001_us_eGFP3-5uW_T48s_1_correlation-CH2_2,2022-02-19_multipletau_CH2_BIN0dot001_us_eGFP3-5uW_T48s_1_correlation-CH2_2 fitted model: ,2022-02-19_multipletau_CH2_BIN0dot001_us_eGFP4-5uW_T69s_1_correlation-CH2_2,2022-02-19_multipletau_CH2_BIN0dot001_us_eGFP4-5uW_T69s_1_correlation-CH2_2 fitted model: ,2022-02-19_multipletau_CH2_BIN0dot001_us_eGFP5-5uW_T91s_1_correlation-CH2_2,2022-02-19_multipletau_CH2_BIN0dot001_us_eGFP5-5uW_T91s_1_correlation-CH2_2 fitted model: ,
0.052000000000000005,0.0396782914575958,0.040461106929839445,0.03897767812957615,0.04000851505686708,0.038452488663046056,0.04007266480677832,0.03837541441199799,0.04008546134737618,0.03892584987485784,0.04039329619590556,
0.056,0.037442778181790315,0.0396420826148547,0.03723055768630245,0.03920033443989645,0.03804050833642913,0.03925932676765672,0.03751505765203901,0.03928086836717986,0.03827555326048468,0.03957630133595153,
0.06,0.03760523265522022,0.03885517257089205,0.03713190729938286,0.03842373327993469,0.037422520286621075,0.03847789788219768,0.036759922023629515,0.03850747963078647,0.03772558702162809,0.03879133383476701,
0.064,0.0376311313980894,0.03809852614598441,0.03682847864737906,0.03767689791561086,0.03692480459722819,0.03772653831038019,0.036945779391509524,0.037763516159309854,0.0364708192954851,0.03803654846315838,
0.07200000000000001,0.035182462903798235,0.03666930619495102,0.035310993751309416,0.03626593870204242,0.03512018434678192,0.03630734875660396,0.034827125122138564,0.03635740044922894,0.03540959247419795,0.03661082568767083,
0.08,0.034575092267161905,0.03534218516911795,0.03423960014460774,0.034955456118592965,0.03444006194417942,0.03498959326991433,0.03434416435471148,0.035050733777094875,0.03429885842281684,0.03528693075756837,
0.088,0.033634803890813005,0.03410661163872695,0.032461777904555164,0.03373509797551877,0.03284947446084956,0.033762783976103786,0.03296388289370124,0.033833337233340074,0.0332491584012372,0.03405434237599474,
0.096,0.03219506374747088,0.03295343959713621,0.03180228841284639,0.032595886913458855,0.03183562703078268,0.03261783062258643,0.03206546027544651,0.03269637512718472,0.03207935767344978,0.03290394038292873,
0.10400000000000001,0.03132934716535935,0.031874702004003164,0.030875059846129014,0.03152999950649086,0.031319086806128875,0.031546815275060716,0.031253838052488915,0.031632140497773034,0.03144894154314925,0.03182778003152791,
0.112,0.029894899586565896,0.0308634267484044,0.03093386175641946,0.030530586629555018,0.030262132295666867,0.030542809236844562,0.03007066095234175,0.030633880453531194,0.030064047897358982,0.030818908539360715,
0.12,0.029613617239307305,0.02991348604209179,0.029559184755026915,0.02959162636872211,0.029113723887918008,0.029599723239020482,0.029121988625983496,0.029695652970487287,0.028958542821438275,0.029871214957049936,
0.128,0.028591332952097686,0.029019472366421384,0.02834656674221404,0.02870780279773049,0.027783285161399367,0.02871218405483055,0.02835534325773809,0.02881220873161979,0.028664688540891325,0.02897930650222847,
0.14400000000000002,0.02707512991538454,0.027380597667236092,0.02718469242500141,0.02708724557812312,0.02694769334682181,0.02708523700162097,0.027097480547566062,0.02719156395844729,0.027321616051665738,0.027344266815055987,
0.16,0.02570730045968122,0.025914444068124078,0.025617039421790628,0.02563708071643496,0.025433596867059774,0.025629818575671995,0.025899785385077007,0.025740460041289884,0.025644998971567204,0.025881517483188253,
0.176,0.02478688165624803,0.024595119789801015,0.02441951325549987,0.02433182193130634,0.024607416575661702,0.024320206585000784,0.024580506141137208,0.024433659402846683,0.024842650375138477,0.024565235069527847,
0.192,0.023783193653530817,0.02340166126555465,0.023488329761615995,0.02315082377145267,0.023391957411269357,0.023135576433541864,0.023498720332502596,0.023250696212135914,0.02384597952207787,0.023374510658041654,
