2e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
4e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
6e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
8e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.4e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.6e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2.6e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3.4e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
4.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
0.00089,0.6805574278420621, ,1.3656223196609392, ,1.5852804387468953, ,1.2440064506370845, ,1.0014350087070607, ,0.8574062147298267, ,0.805871736892579, ,0.7392532038268917, ,0.6956934878144112, ,0.7006167651839196, ,
0.001018,0.6789249273846627,0.6488109120989995,1.2861008536733234,1.2858598059028892,1.5496771590200538,1.5010313177785901,1.2173754307032478,1.1852215683495606,0.9681319494320978,0.927084117681823,0.8525885454160819,0.8153256549191594,0.8048541581556786,0.7680457696299848,0.7315919796962408,0.7082778955998736,0.6947578376098046,0.6676860050612574,0.6981431942209697,0.6718715495278198,
0.001146,0.6835065349441035,0.6481411321175427,1.327446666843953,1.2844988155026176,1.5185261811856312,1.4994105126329218,1.2494441267820193,1.1839752345886416,0.964491647368445,0.9261230812048524,0.8493825908279815,0.8144795029723474,0.8070208094402435,0.7672431844180018,0.7340234695691485,0.7075449455990909,0.7028306071771937,0.666998454426319,0.6936463895299887,0.6711696743369879,
0.001274,0.6594571566919933,0.6474732261264675,1.3137122391393894,1.283141652072191,1.5709246604095697,1.4977943181885234,1.2282694650939288,1.1827324096575034,0.961917080467286,0.9251647370959108,0.8437892409281748,0.8136357211978982,0.7944319770575096,0.766442858779561,0.7294219741257478,0.70681404350279,0.6793090295091457,0.6663128209725231,0.703320615157114,0.6704697726455638,
0.001402,0.6718126873032673,0.6468071876552314,1.3246898206065347,1.281788302351658,1.5452671727997112,1.4961827184652003,1.218299914853661,1.1814930814199855,0.942236247056928,0.9242090760592904,0.8401362830698139,0.812794301408854,0.7853798092008055,0.7656447849104554,0.7245248239101955,0.7060851822375228,0.6824039668738441,0.6656290980809795,0.6832403512663143,0.6697718376349344,
0.00153,0.6632652929535706,0.6461430102568022,1.3105231811237616,1.2804387531294732,1.5383771497227872,1.4945756975408753,1.2256135414740554,1.1802572377840643,0.9477225583108901,0.9232560888330391,0.8171438420467235,0.8119552354480134,0.7723502421790136,0.7648489550347847,0.7121791011044064,0.7053583547555737,0.6733120045831872,0.6649472791568753,0.6930796818580397,0.6690758625112471,
0.001786,0.652737802169854,0.6448202130072678,1.2923311573765357,1.2777510035749073,1.5135781607710954,1.4913753286901879,1.1955693368506801,1.1777959561686087,0.9409679525672355,0.9213580989318658,0.8286613762504639,0.8102841325302581,0.7698993444334356,0.7632639963010508,0.7152552461327226,0.7039107730788489,0.6774714011932388,0.6635893269515748,0.6830281682968541,0.6676897648725373,
0.002042,0.6537157482279389,0.6435047832685127,1.3102222902862335,1.2750782986773719,1.531440672346315,1.4881930854139498,1.1903399124355518,1.1753484689514333,0.9236500888000176,0.9194706939671413,0.8050041789260893,0.8086223477779566,0.774296197960253,0.7616879209333084,0.7104553855662117,0.7024712426018909,0.6810020028956728,0.6622389120762386,0.6771762808387263,0.6663114258703297,
0.002298,0.6454336799829757,0.6421966703017931,1.2673037852468623,1.2724205344686994,1.512807144491442,1.4850288424057343,1.1731309287686984,1.1729146809685498,0.9142589777515497,0.9175938010457273,0.8031380725030212,0.8069698169934885,0.7738776465653148,0.7601206677327271,0.7067889909084064,0.7010397078595816,0.6633442520992565,0.6608959826299926,0.6686315249066486,0.6649407920358251,
0.002554,0.6393652027030473,0.6408958237362179,1.2762496067402358,1.2697776077379754,1.4926235165046449,1.4818824752683881,1.1799793965021224,1.1704944977465086,0.9170559039523567,0.9157273478026416,0.7988231970843616,0.8053264764448007,0.7635840855437415,0.7585621759433894,0.7073961989566224,0.699616113789392,0.6652445841810553,0.6595604870886443,0.6576740852268468,0.6635778102876333,
0.00281,0.6437909069859269,0.6396021935660148,1.259841876736807,1.2671494160258723,1.474330655404614,1.4787538605072723,1.1675295363388014,1.168087825497264,0.9050657120453631,0.9138712623971394,0.8103853985820861,0.8036922628619474,0.7547211482632952,0.7570123852490079,0.6974217467290167,0.6982004057283812,0.6520901411461216,0.6582323743018801,0.6601911948564126,0.6622224279288954,
0.003066,0.637863731647216,0.638315730147817,1.2992523935261537,1.2645358576190349,1.4778160112796521,1.4756428755235536,1.1411568992042687,1.1656945711130746,0.9133698059010754,0.9120254735088188,0.7980082786463492,0.8020671134336529,0.7522103759638885,0.7554712357696668,0.7012213440790359,0.6967925294102247,0.6569497426412703,0.6569115934904809,0.6569799045264348,0.6608745926444307,
0.003578,0.6341523009005128,0.6357641067898595,1.251411464757937,1.2593522375641748,1.4523185568256691,1.46947330893212,1.1561476630346526,1.1609479468801092,0.9038965432906341,0.9083645025806822,0.7894330870294997,0.7988437580685629,0.7448521164723075,0.7524146230989238,0.6906325808858572,0.6940000569025645,0.6435927705942358,0.6542918265158261,0.6562267151501748,0.6582013559290084,
0.00409,0.6250601951036432,0.6332405636617002,1.2533702079235796,1.2542259485751561,1.439743059004837,1.463372812367849,1.145276411805397,1.156253893600514,0.9050759319423045,0.9047438747158232,0.7889619753554686,0.795655916903842,0.7409549172731507,0.7493918674970046,0.6853820286373942,0.6912382699565127,0.6445300298890357,0.6517007872483964,0.6486021383696223,0.655557689146361,
0.004602,0.6191661982917764,0.6307447163909528,1.231201853518162,1.2491562032368466,1.4389223470880805,1.4573404366165805,1.1314907754335966,1.1516116903922822,0.8967206357615565,0.9011630376931267,0.7900308994535206,0.7925031036170234,0.7344969427425321,0.7464025053072829,0.6807484916932225,0.6885067484214195,0.6404035049311113,0.6491380825348333,0.6413643199277205,0.6529431872292468,
0.005114,0.6246942241297798,0.6282761861502216,1.2250207105431132,1.244142225544854,1.431491495119178,1.45137524617038,1.1298146868819423,1.1470206267820724,0.8775618614308566,0.8976214472533146,0.7836717596711823,0.7893848389034425,0.7338326617059983,0.7434460795506608,0.674912726319182,0.6858050782146101,0.6376720128803686,0.6466033248993018,0.6405487082126183,0.6503574509505865,
0.005626,0.6131378641822873,0.6258345995750908,1.2381203696054615,1.2391832507357865,1.4070365011156107,1.4454763190247926,1.1182285461518153,1.1424800025511468,0.8752125222398074,0.8941185669812913,0.772514206394895,0.7863006503724105,0.7331213001104361,0.7405221398270733,0.6829328467857019,0.6831328512314941,0.6355620696672073,0.6440961324593822,0.6440023351555711,0.6478000868371842,
0.006138,0.6173870249113582,0.6234195886833539,1.2127083419260742,1.2342785251200898,1.4200865862163707,1.4396427464791655,1.1176310527531397,1.1379891275836367,0.8718711918444536,0.8906538681902662,0.7733180583193828,0.7832500724449567,0.7249838044435498,0.7376302422184753,0.6702248646860565,0.6804896652570344,0.6313323795865524,0.641616128843236,0.6307787288460748,0.6452707070847482,
0.007162,0.6065219352048254,0.618667848456166,1.2011918500003922,1.2246288610945797,1.4018378149907216,1.4281680957271499,1.1132636657802604,1.1291539145953644,0.8653826458778959,0.8838369382624977,0.7602536902786361,0.7772479195407348,0.7145699470828347,0.7319408295122862,0.6634653075546778,0.6752888363998719,0.6279269660634025,0.6367362096595525,0.6270804990412676,0.6402943772892147,
0.008186,0.5927403220612826,0.6140181262620726,1.182788341262653,1.215187419235431,1.390132281832424,1.416944282985631,1.0912470504626035,1.1205096633251637,0.8658074686319498,0.8771665782475918,0.7649988871540672,0.771374788004111,0.7153410456602317,0.7263744161328689,0.6583242875661983,0.6701994884334307,0.6141911573091037,0.6319606635157472,0.6276841310714094,0.6354254693586465,
0.00921,0.5992779928158829,0.6094676640417648,1.1830747701601312,1.2059485522124653,1.3853078479957732,1.4059644979047492,1.097550589667645,1.1120512015944564,0.8559863415346469,0.8706388254482639,0.7481064386717189,0.7656271883463854,0.703434265730652,0.7209276745254717,0.6501789152438867,0.6652186069360042,0.6135278192029419,0.6272866696540522,0.6159015890014459,0.6306610765630684,
0.010234,0.5875619874956903,0.6050137825054981,1.1727260991084958,1.196906774680364,1.3552855279426634,1.3952221248353178,1.0806533917507632,1.1037735050718567,0.8413747312959381,0.8642498302808735,0.7418976752849137,0.7600017307667136,0.6988835606523633,0.7155973720231803,0.6450846506918586,0.6603432636681948,0.6129384528282382,0.6227114879534119,0.6161213434068161,0.6259983751460164,
0.011258,0.5859973813857543,0.6006538788265002,1.1692459272651086,1.1880567585089201,1.3643162804925943,1.3847107371264473,1.07748005907853,1.0956716929405432,0.8482419340201443,0.8579958529658656,0.7372349640461685,0.7544951222320586,0.6930862246539918,0.7103803680754405,0.6458732714920384,0.65557061404533,0.6064960210739954,0.6182324565645275,0.6093733214858242,0.6214346218974094,
0.012282,0.5835779160911378,0.5963854244033203,1.1639738765907677,1.1793933281568374,1.3483481371561783,1.3744240915935848,1.0672271609002395,1.08774102369524,0.8354786380832518,0.8518732603170259,0.7420744544293809,0.7491041636444569,0.6903467468913749,0.7052736115591436,0.6392729277086477,0.650897894685571,0.6046099342048773,0.6138469896157336,0.6032254605496584,0.6169671517988617,
0.01433,0.5739852063318268,0.588113107085134,1.148193257088132,1.1626062589024682,1.3154239054546724,1.354500939609119,1.0464362619044285,1.0723748200568157,0.8237766126865571,0.840008210642949,0.7289999129999662,0.7386568531874247,0.682595569519393,0.6953790678901219,0.6286721468995962,0.6418415850422854,0.5938424718262516,0.6053467721537048,0.5944713397004169,0.6083107782982597,
