,TbPEX5EGFP 1-100016_T330s_1_DELSHIFT_CH2_BIN1.0,TbPEX5EGFP 1-100017_T352s_1_DELSHIFT_CH2_BIN1.0,TbPEX5EGFP 1-100015_T308s_1_DELSHIFT_CH2_BIN1.0
412,20.0,14.0,13
413,16.0,17.0,18
414,10.0,12.0,10
415,19.0,20.0,7
416,11.0,7.0,9
417,10.0,10.0,9
418,21.0,11.0,9
419,26.0,7.0,19
420,13.0,8.0,8
421,23.0,49.0,11
422,20.0,13.0,7
423,10.0,10.0,9
424,6.0,2.0,8
425,10.0,5.0,23
426,12.0,6.0,35
427,11.0,7.0,26
428,30.0,3.0,25
429,23.0,13.0,67
430,26.0,32.0,37
431,16.0,20.0,20
432,23.0,18.0,51
433,10.0,9.0,22
434,12.0,22.0,46
435,18.0,10.0,32
436,11.0,16.0,12
437,24.0,22.0,11
438,16.0,64.0,14
439,24.0,20.0,14
440,14.0,16.0,17
441,11.0,33.0,11
442,6.0,19.0,6
443,13.0,18.0,11
444,4.0,13.0,10
445,6.0,6.0,13
446,13.0,7.0,10
447,8.0,15.0,12
448,13.0,17.0,44
449,7.0,24.0,45
450,13.0,22.0,15
451,16.0,23.0,7
452,6.0,12.0,22
453,17.0,28.0,14
454,8.0,31.0,4
455,9.0,11.0,19
456,10.0,18.0,12
457,26.0,7.0,18
458,24.0,13.0,11
459,18.0,7.0,13
460,31.0,9.0,11
461,9.0,19.0,7
462,15.0,22.0,4
463,13.0,39.0,6
464,20.0,23.0,10
465,9.0,17.0,13
466,6.0,10.0,8
467,11.0,17.0,11
468,7.0,18.0,17
469,8.0,11.0,16
470,13.0,9.0,11
471,44.0,24.0,28
472,58.0,21.0,27
473,19.0,18.0,14
474,36.0,25.0,5
475,16.0,30.0,11
476,10.0,17.0,4
477,16.0,58.0,13
478,9.0,22.0,28
479,16.0,25.0,12
480,13.0,30.0,6
481,5.0,19.0,8
482,11.0,9.0,13
483,7.0,9.0,11
484,4.0,48.0,40
485,4.0,65.0,22
486,14.0,26.0,16
487,14.0,39.0,5
488,12.0,65.0,6
489,6.0,25.0,6
490,8.0,31.0,5
491,10.0,47.0,8
492,7.0,39.0,13
493,5.0,77.0,11
494,7.0,71.0,13
495,4.0,48.0,14
496,8.0,52.0,16
497,13.0,34.0,24
498,8.0,23.0,17
499,15.0,17.0,15
500,11.0,13.0,12
501,16.0,19.0,9
502,13.0,31.0,4
503,2.0,23.0,7
504,6.0,20.0,12
505,8.0,13.0,8
506,14.0,13.0,14
507,11.0,11.0,4
508,6.0,17.0,14
509,13.0,25.0,8
510,4.0,18.0,3
511,7.0,26.0,7
512,12.0,10.0,4
513,9.0,20.0,7
514,11.0,21.0,16
515,34.0,22.0,17
516,9.0,12.0,15
517,15.0,31.0,8
518,21.0,31.0,11
519,13.0,30.0,7
520,10.0,35.0,10
521,8.0,38.0,13
522,5.0,18.0,15
523,4.0,12.0,6
524,9.0,11.0,8
525,4.0,18.0,5
526,11.0,14.0,9
527,11.0,20.0,4
528,13.0,15.0,6
529,13.0,11.0,7
530,12.0,9.0,4
531,19.0,24.0,6
532,22.0,18.0,5
533,9.0,11.0,11
534,15.0,7.0,10
535,29.0,13.0,10
536,15.0,22.0,10
537,10.0,14.0,10
538,8.0,24.0,6
539,13.0,40.0,12
540,11.0,12.0,9
541,11.0,28.0,14
542,10.0,20.0,13
543,5.0,13.0,7
544,10.0,11.0,3
545,6.0,8.0,7
546,15.0,12.0,46
547,3.0,4.0,43
548,9.0,16.0,23
549,5.0,8.0,22
550,15.0,5.0,9
551,9.0,7.0,10
552,10.0,6.0,14
553,20.0,12.0,7
554,7.0,10.0,24
555,12.0,8.0,7
556,12.0,7.0,9
557,5.0,6.0,18
558,7.0,8.0,11
559,11.0,7.0,15
560,10.0,5.0,11
561,8.0,7.0,8
562,8.0,18.0,16
563,6.0,16.0,8
564,6.0,10.0,25
565,6.0,15.0,19
566,6.0,11.0,12
567,8.0,11.0,7
568,6.0,7.0,7
569,23.0,10.0,4
570,33.0,12.0,20
571,23.0,25.0,12
572,37.0,37.0,23
573,43.0,10.0,18
574,23.0,8.0,11
575,29.0,23.0,14
576,22.0,35.0,7
577,44.0,12.0,5
578,16.0,11.0,9
579,39.0,11.0,4
580,34.0,14.0,9
581,24.0,11.0,13
582,38.0,10.0,4
583,26.0,13.0,10
584,20.0,12.0,11
585,7.0,13.0,7
586,6.0,13.0,12
587,5.0,5.0,8
588,2.0,11.0,11
589,5.0,12.0,16
590,7.0,14.0,16
591,32.0,19.0,14
592,21.0,10.0,11
593,5.0,3.0,9
594,7.0,12.0,8
595,11.0,7.0,10
596,8.0,6.0,9
597,4.0,14.0,15
598,6.0,8.0,12
599,5.0,12.0,14
600,10.0,12.0,5
601,22.0,12.0,13
602,14.0,12.0,13
603,14.0,14.0,8
604,34.0,7.0,17
605,14.0,10.0,12
606,7.0,13.0,24
607,5.0,31.0,13
608,11.0,37.0,34
609,8.0,26.0,11
610,8.0,28.0,27
611,28.0,26.0,6
612,6.0,32.0,4
613,10.0,9.0,16
614,15.0,16.0,22
615,27.0,21.0,36
616,13.0,15.0,19
617,40.0,14.0,8
618,37.0,29.0,10
619,19.0,26.0,24
620,32.0,24.0,29
621,12.0,17.0,11
622,10.0,12.0,9
623,2.0,13.0,6
624,13.0,19.0,5
625,12.0,11.0,13
626,11.0,10.0,12
627,11.0,9.0,12
628,17.0,5.0,13
629,15.0,22.0,8
630,12.0,21.0,11
631,9.0,19.0,13
632,19.0,23.0,21
633,11.0,10.0,3
634,11.0,7.0,15
635,6.0,8.0,17
636,8.0,23.0,7
637,7.0,19.0,11
638,5.0,20.0,15
639,9.0,8.0,14
640,16.0,14.0,16
641,65.0,17.0,17
642,19.0,20.0,8
643,29.0,15.0,63
644,43.0,17.0,18
645,15.0,23.0,12
646,34.0,36.0,17
647,5.0,21.0,12
648,11.0,14.0,29
649,4.0,24.0,23
650,6.0,6.0,15
651,16.0,11.0,19
652,7.0,24.0,16
653,7.0,17.0,16
654,15.0,16.0,13
655,18.0,14.0,24
656,9.0,23.0,20
657,11.0,20.0,9
658,30.0,35.0,10
659,22.0,67.0,26
660,10.0,28.0,19
661,32.0,37.0,18
662,29.0,20.0,22
663,20.0,18.0,64
664,35.0,25.0,14
665,32.0,14.0,19
666,27.0,23.0,18
667,7.0,12.0,9
668,7.0,10.0,20
669,7.0,26.0,10
670,11.0,43.0,7
671,6.0,10.0,11
672,8.0,23.0,13
673,13.0,14.0,26
674,8.0,3.0,24
675,6.0,27.0,27
676,5.0,22.0,20
677,11.0,19.0,12
678,8.0,13.0,14
679,12.0,10.0,37
680,6.0,13.0,11
681,13.0,7.0,9
682,8.0,12.0,42
683,16.0,4.0,19
684,28.0,15.0,17
685,45.0,11.0,22
686,8.0,21.0,11
687,9.0,20.0,6
688,14.0,9.0,14
689,7.0,20.0,5
690,6.0,23.0,9
691,4.0,16.0,6
692,12.0,20.0,8
693,6.0,8.0,20
694,10.0,16.0,28
695,6.0,7.0,13
696,10.0,10.0,10
697,4.0,29.0,5
698,15.0,24.0,7
699,9.0,26.0,4
700,9.0,5.0,6
701,4.0,13.0,10
702,5.0,17.0,8
703,11.0,15.0,22
704,10.0,33.0,22
705,24.0,19.0,38
706,6.0,23.0,13
707,7.0,13.0,22
708,7.0,9.0,8
709,8.0,18.0,6
710,20.0,12.0,10
711,66.0,4.0,8
712,46.0,11.0,2
713,22.0,15.0,8
714,15.0,15.0,8
715,10.0,4.0,6
716,16.0,4.0,10
717,46.0,5.0,9
718,30.0,15.0,12
719,30.0,13.0,20
720,31.0,11.0,5
721,27.0,20.0,15
722,40.0,32.0,15
723,35.0,30.0,9
724,18.0,31.0,10
725,6.0,23.0,11
726,13.0,2.0,14
727,9.0,9.0,2
728,8.0,19.0,24
729,12.0,10.0,30
730,12.0,4.0,9
731,13.0,4.0,7
732,8.0,5.0,5
733,10.0,8.0,18
734,74.0,14.0,10
735,7.0,15.0,12
736,5.0,8.0,6
737,8.0,28.0,7
738,6.0,42.0,15
739,8.0,24.0,13
740,8.0,27.0,30
741,9.0,8.0,28
742,7.0,20.0,17
743,6.0,22.0,11
744,8.0,11.0,14
745,10.0,10.0,57
746,26.0,19.0,82
747,21.0,18.0,65
748,12.0,11.0,51
749,37.0,17.0,24
750,30.0,24.0,18
751,9.0,16.0,31
752,11.0,14.0,21
753,7.0,30.0,25
754,19.0,22.0,56
755,14.0,14.0,33
756,12.0,19.0,24
757,10.0,14.0,19
758,14.0,9.0,18
759,8.0,5.0,14
760,14.0,10.0,16
761,11.0,11.0,10
762,14.0,8.0,9
763,11.0,10.0,19
764,15.0,6.0,14
765,9.0,9.0,38
766,12.0,6.0,55
767,11.0,10.0,10
768,14.0,9.0,12
769,5.0,8.0,12
770,8.0,7.0,8
771,9.0,4.0,15
772,10.0,13.0,11
773,15.0,13.0,7
774,44.0,8.0,8
775,20.0,4.0,13
776,11.0,8.0,7
777,11.0,6.0,6
778,26.0,12.0,9
779,15.0,9.0,8
780,18.0,13.0,7
781,7.0,18.0,12
782,12.0,10.0,11
783,17.0,7.0,8
784,16.0,6.0,12
785,6.0,8.0,9
786,5.0,9.0,31
787,10.0,9.0,16
788,12.0,9.0,11
789,8.0,10.0,30
790,9.0,5.0,16
791,8.0,5.0,15
792,6.0,6.0,11
793,4.0,10.0,28
794,6.0,11.0,13
795,7.0,36.0,13
796,6.0,14.0,9
797,14.0,26.0,17
798,19.0,12.0,9
799,5.0,12.0,18
800,6.0,16.0,12
801,9.0,25.0,37
802,12.0,15.0,9
803,21.0,13.0,10
804,10.0,9.0,14
805,16.0,8.0,13
806,17.0,6.0,22
807,10.0,21.0,16
808,9.0,10.0,9
809,9.0,10.0,9
810,26.0,6.0,22
811,26.0,4.0,10
812,18.0,13.0,15
813,11.0,14.0,3
814,8.0,13.0,14
815,9.0,9.0,7
816,3.0,13.0,10
817,13.0,19.0,11
818,10.0,27.0,15
819,10.0,17.0,5
820,11.0,15.0,8
821,15.0,8.0,7
822,9.0,14.0,7
823,7.0,12.0,11
824,5.0,20.0,6
825,4.0,19.0,7
826,4.0,15.0,11
827,10.0,16.0,8
828,14.0,6.0,8
829,56.0,19.0,4
830,21.0,25.0,6
831,10.0,17.0,9
832,9.0,29.0,7
833,23.0,7.0,7
834,8.0,26.0,10
835,23.0,34.0,10
836,18.0,16.0,13
837,9.0,15.0,8
838,38.0,7.0,8
839,15.0,11.0,10
840,41.0,8.0,12
841,10.0,12.0,17
842,15.0,6.0,15
843,9.0,4.0,9
844,4.0,2.0,11
845,12.0,14.0,11
846,11.0,6.0,14
847,2.0,16.0,8
848,13.0,22.0,12
849,25.0,7.0,9
850,8.0,13.0,10
851,6.0,12.0,7
852,8.0,3.0,6
853,8.0,6.0,9
854,16.0,16.0,6
855,18.0,18.0,4
856,7.0,19.0,7
857,5.0,10.0,8
858,8.0,15.0,9
859,12.0,23.0,7
860,12.0,19.0,1
861,3.0,19.0,4
862,14.0,14.0,8
863,10.0,12.0,12
864,6.0,14.0,10
865,11.0,74.0,8
866,12.0,22.0,4
867,9.0,10.0,7
868,8.0,9.0,6
869,14.0,18.0,2
870,16.0,32.0,6
871,10.0,9.0,3
872,16.0,15.0,7
873,8.0,8.0,7
874,2.0,15.0,8
875,15.0,12.0,28
876,13.0,15.0,19
877,4.0,9.0,25
878,9.0,27.0,15
879,9.0,16.0,6
880,12.0,11.0,19
881,25.0,9.0,15
882,23.0,8.0,7
883,14.0,6.0,5
884,12.0,6.0,6
885,16.0,8.0,12
886,12.0,12.0,6
887,13.0,9.0,13
888,17.0,13.0,9
889,2.0,6.0,15
890,11.0,16.0,12
891,20.0,15.0,6
892,12.0,6.0,16
893,9.0,9.0,16
894,16.0,11.0,19
895,13.0,14.0,12
896,12.0,8.0,12
897,5.0,11.0,7
898,8.0,10.0,11
899,16.0,15.0,17
900,9.0,14.0,8
901,11.0,9.0,12
902,7.0,10.0,4
903,10.0,13.0,8
904,5.0,16.0,48
905,6.0,7.0,3
906,6.0,14.0,9
907,9.0,23.0,23
908,7.0,18.0,24
909,9.0,11.0,20
910,10.0,6.0,68
911,11.0,3.0,23
912,9.0,12.0,14
913,7.0,6.0,6
914,4.0,8.0,26
915,12.0,5.0,23
916,6.0,6.0,39
917,4.0,16.0,29
918,6.0,10.0,20
919,7.0,33.0,9
920,10.0,10.0,1
921,14.0,11.0,8
922,9.0,14.0,18
923,24.0,8.0,11
924,24.0,17.0,25
925,21.0,22.0,10
926,10.0,34.0,4
927,6.0,15.0,11
928,5.0,13.0,8
929,6.0,46.0,7
930,6.0,11.0,4
931,8.0,9.0,15
932,5.0,32.0,9
933,12.0,31.0,23
934,4.0,15.0,17
935,6.0,38.0,17
936,18.0,16.0,15
937,7.0,58.0,14
938,11.0,15.0,9
939,10.0,8.0,14
940,11.0,11.0,17
941,6.0,8.0,8
942,7.0,12.0,10
943,8.0,13.0,18
944,6.0,23.0,15
945,6.0,13.0,8
946,7.0,8.0,7
947,30.0,4.0,10
948,7.0,4.0,14
949,13.0,7.0,16
950,25.0,10.0,15
951,10.0,13.0,32
952,28.0,17.0,12
953,7.0,7.0,22
954,14.0,4.0,13
955,8.0,9.0,8
956,10.0,8.0,11
957,9.0,13.0,11
958,16.0,5.0,11
959,11.0,5.0,7
960,9.0,5.0,7
961,15.0,11.0,7
962,19.0,12.0,10
963,8.0,18.0,8
964,6.0,16.0,8
965,6.0,39.0,15
966,7.0,44.0,14
967,8.0,22.0,34
968,12.0,12.0,15
969,7.0,9.0,28
970,11.0,14.0,26
971,4.0,12.0,16
972,11.0,12.0,12
973,13.0,12.0,15
974,9.0,41.0,18
975,14.0,12.0,12
976,13.0,49.0,6
977,9.0,14.0,18
978,17.0,12.0,7
979,29.0,6.0,13
980,52.0,8.0,22
981,64.0,8.0,30
982,39.0,12.0,9
983,2.0,12.0,14
984,13.0,29.0,21
985,8.0,21.0,17
986,11.0,32.0,21
987,5.0,34.0,21
988,10.0,13.0,38
989,6.0,10.0,7
