,DiO LUV 10uM in 20 nM AF48889_T1067s_1_CH2_BIN1.0_PREPRO,DiO LUV 10uM in 20 nM AF4885_T51s_1_CH2_BIN1.0_PREPRO,DiO LUV 10uM in 20 nM AF48899_T1187s_1_CH2_BIN1.0_PREPRO
348,0.032166954,0.034824938,0.03820103
349,0.03577593,0.033514325,0.048767272
350,0.03248078,0.046620484,0.036304526
351,0.02934254,0.04100356,0.017881334
352,0.032166954,0.03332709,0.017610403
353,0.033579163,0.036322787,0.03386616
354,0.045033734,0.027335705,0.028989434
355,0.027459595,0.03950571,0.015442969
356,0.043307703,0.02864632,0.031427797
357,0.02149694,0.035948325,0.01517204
358,0.02934254,0.029395245,0.019506909
359,0.026675036,0.040067405,0.020319697
360,0.03248078,0.038382325,0.05012192
361,0.03483446,0.04587156,0.036304526
362,0.021026203,0.024340011,0.037117314
363,0.033736072,0.031829245,0.05689515
364,0.030911658,0.029208014,0.036033597
365,0.027616506,0.011608313,0.027363857
366,0.027145771,0.0327654,0.03034408
367,0.020712381,0.040067405,0.03359523
368,0.026518123,0.038756788,0.017881334
369,0.021340027,0.020033702,0.020590626
370,0.021340027,0.026025089,0.031969655
371,0.011454574,0.017038008,0.034408018
372,0.022124588,0.020033702,0.0666486
373,0.022909148,0.016289085,0.028718505
374,0.020398557,0.004868002,0.056624223
375,0.020555468,0.028084628,0.04172311
376,0.015534285,0.019097548,0.031698726
377,0.023536796,0.040254634,0.039284747
378,0.02934254,0.03070586,0.036846384
379,0.028087243,0.031080322,0.035762668
380,0.030754747,0.041378018,0.05283121
381,0.029970186,0.032016475,0.040368464
382,0.018672524,0.050926793,0.03874289
383,0.017887965,0.040816326,0.037388243
384,0.018672524,0.021344317,0.04172311
385,0.015220461,0.030144168,0.036846384
386,0.021026203,0.038195096,0.028718505
387,0.011768398,0.031267554,0.01517204
388,0.02149694,0.04156525,0.03847196
389,0.02949945,0.027710166,0.034678947
390,0.013180606,0.035386633,0.035220806
391,0.026675036,0.027148474,0.028176647
392,0.023379885,0.049054485,0.017881334
393,0.037031226,0.0351994,0.039284747
394,0.03436372,0.0351994,0.037659172
395,0.022909148,0.032390937,0.02248713
396,0.030440923,0.037820634,0.015984828
397,0.032951515,0.03707171,0.04118125
398,0.040326376,0.027897397,0.036575455
399,0.026361212,0.03070586,0.030885939
400,0.038443435,0.02377832,0.017068544
401,0.03436372,0.035386633,0.034408018
402,0.026518123,0.042688634,0.02628014
403,0.03436372,0.0303314,0.026009211
404,0.03718814,0.027897397,0.04985099
405,0.03201004,0.029020783,0.013004606
406,0.036874313,0.02621232,0.0333243
407,0.02400753,0.034076016,0.031156868
408,0.029028716,0.0303314,0.030885939
409,0.03985564,0.029582474,0.047954485
410,0.02149694,0.038382325,0.023841778
411,0.033265337,0.031080322,0.016797615
412,0.030754747,0.043250326,0.05012192
413,0.02541974,0.034076016,0.039284747
414,0.018515613,0.04175248,0.027905717
415,0.03169622,0.042126942,0.0143592525
416,0.0340499,0.040441863,0.029802222
417,0.024478268,0.03445048,0.032782443
418,0.015691197,0.035948325,0.021403413
419,0.018672524,0.015914623,0.050392848
420,0.031382393,0.033139862,0.03061501
421,0.029028716,0.02845909,0.021945272
422,0.036403578,0.041378018,0.01517204
423,0.038600344,0.027335705,0.03386616
424,0.030911658,0.027148474,0.054456785
425,0.02777342,0.02864632,0.054456785
426,0.029813275,0.04100356,0.044161472
427,0.036089752,0.033888783,0.08344622
428,0.026047388,0.034263246,0.048767272
429,0.052094776,0.049616177,0.0712544
430,0.047387417,0.03744617,0.058249798
431,0.0406402,0.030518629,0.029802222
432,0.053820807,0.026399551,0.047954485
433,0.0668445,0.033139862,0.027092928
434,0.045190647,0.035948325,0.030073151
435,0.044563,0.029582474,0.037117314
436,0.056174487,0.03501217,0.0444324
437,0.031225482,0.039692942,0.034408018
438,0.0222815,0.047182176,0.028718505
439,0.02949945,0.027522936,0.0490382
440,0.019143261,0.028833551,0.036575455
441,0.024478268,0.033514325,0.029802222
442,0.036246665,0.029582474,0.006773232
443,0.02793033,0.029769706,0.016255757
444,0.013651341,0.03707171,0.016797615
445,0.019613996,0.025088934,0.04470333
446,0.027616506,0.02377832,0.020048767
447,0.016946493,0.03463771,0.01923598
448,0.02541974,0.03744617,0.047683556
449,0.0222815,0.030518629,0.052018423
450,0.030597834,0.03332709,0.048225414
451,0.024635179,0.034263246,0.06502303
452,0.0222815,0.049054485,0.040639393
453,0.03985564,0.046994943,0.03386616
454,0.020398557,0.04343756,0.043348685
455,0.03514828,0.030518629,0.051747493
456,0.01992782,0.045122635,0.055811435
457,0.021340027,0.051675715,0.06800325
458,0.024478268,0.045122635,0.05256028
459,0.04362153,0.044373713,0.047954485
460,0.029185627,0.042126942,0.061771877
461,0.026047388,0.038195096,0.056082364
462,0.026047388,0.03295263,0.03061501
463,0.024792092,0.04100356,0.052018423
464,0.033892985,0.023591088,0.04497426
465,0.038443435,0.020220932,0.040910322
466,0.0367174,0.031454783,0.06502303
467,0.039698727,0.04362479,0.059875373
468,0.029656364,0.042688634,0.047683556
469,0.04393535,0.027710166,0.050934706
470,0.078299075,0.038007863,0.035220806
471,0.06511847,0.02377832,0.039013818
472,0.054605365,0.024901703,0.052018423
473,0.03718814,0.031829245,0.056082364
474,0.03750196,0.04175248,0.04199404
475,0.029970186,0.031454783,0.037659172
476,0.02385062,0.035386633,0.036846384
477,0.03436372,0.037820634,0.04632891
478,0.022124588,0.03688448,0.03034408
479,0.015220461,0.04755664,0.033053372
480,0.0262043,0.049428947,0.017068544
481,0.031225482,0.026399551,0.018423192
482,0.032323867,0.049803406,0.019777838
483,0.034520634,0.040067405,0.015713898
484,0.028087243,0.053735256,0.01896505
485,0.025262827,0.028833551,0.037659172
