Time (ms),hs-pex5_noc,hs-pex5_noc fitted model: ,tb-pex5_noc,tb-pex5_noc fitted model: ,tb-pex5_0cd20,tb-pex5_0cd20 fitted model: ,tb-pex5_thr-7,tb-pex5_thr-7 fitted model: ,
1e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
4e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
6e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
8e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.4e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.6e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2.6e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3.4e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
4.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
0.00153,0.935356659535643,0.9140878987279337,1.2237951122792134,1.1982515499957476,0.9814009051946585,0.9598176410259214,0.9731942481038999,0.955337351067884,
0.001786,0.9269499946042117,0.9121860199798612,1.212460757961367,1.1961158085927188,0.9774415877379006,0.9578421797884735,0.9694125530806831,0.9533001591336928,
0.002042,0.9257302758283015,0.9102947886942854,1.2046536126636223,1.193991850285315,0.9633200888774439,0.9558775665981519,0.9585087617495542,0.9512744122093532,
0.002298,0.9128715003224177,0.9084141314350481,1.199796680212029,1.1918795955127819,0.9629080746507016,0.9539237264958143,0.9584611078383137,0.9492600309263104,
0.002554,0.9097995777395035,0.9065439752988431,1.192418649796912,1.1897789652732618,0.9575745695215926,0.9519805850725686,0.9509673702542469,0.9472569364981536,
0.00281,0.9025368317088442,0.9046842479112551,1.1828762089841427,1.1876898811197987,0.9438127110967611,0.9500480684656107,0.9426966235060259,0.9452650507162184,
0.003066,0.9034828487415355,0.9028348774228246,1.1840032323776488,1.1856122651563825,0.9494312324061379,0.948126103354091,0.9414701967912037,0.9432842959452226,
0.003578,0.8922663798941481,0.8991669223469886,1.177055127751678,1.181491128946782,0.94087212508212,0.9443135370191803,0.9359985755571086,0.9393558717358879,
0.00409,0.8876956895304441,0.8955395456271876,1.1671165685151474,1.1774149443464577,0.9272681540587182,0.9405423101851565,0.9263937191584113,0.9354710540918469,
0.004602,0.8804545968841277,0.8919521909718042,1.1623393289610258,1.1733831076236916,0.9264777845088034,0.9368118553815361,0.9216774432805385,0.9316292421352749,
0.005114,0.875922084689422,0.8884043101210441,1.1578688302978137,1.1693950234912278,0.9222615791352445,0.9331216134233618,0.915126971250668,0.9278298437550306,
0.005626,0.8719868561408796,0.8848953627280518,1.1484352307075676,1.165450104986196,0.9124385061157747,0.9294710332864864,0.9077930132933425,0.9240722754749278,
0.006138,0.8670322033533012,0.8814248162418244,1.1451444612536124,1.161547773351776,0.9143093048947942,0.9258595719847872,0.9060167774259631,0.9203559623240348,
0.007162,0.8581494321874913,0.8745968340747629,1.1374031953597994,1.153868595999584,0.902025546045479,0.9187518734090495,0.8976468528506762,0.9130448432881989,
0.008186,0.8503254973011924,0.867916254790211,1.1277485848855542,1.146353021110646,0.8942936421382605,0.9117943300201229,0.8876455305422183,0.9058920521815216,
0.00921,0.8452346570024725,0.8613790870907453,1.1222521596855015,1.1389967023655236,0.8881876356376078,0.904982875204704,0.8850529354762092,0.8988932826511802,
0.010234,0.8352527420457743,0.8549814537647028,1.1115069392923453,1.1317954139522781,0.8798872840014293,0.8983135598044132,0.8709817689423849,0.8920443526460945,
0.011258,0.8337345384994157,0.8487195883428897,1.1060114050202459,1.124745047169296,0.8722734018411192,0.8917825486182627,0.8696773378336141,0.8853412007217738,
0.012282,0.8278135252605513,0.8425898318553,1.0968633541475505,1.1178416071251194,0.8637700065680792,0.8853861170119265,0.8576654374692966,0.8787798824577966,
