Time (ms),2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48899_T1187s_1_correlation-CH2_2,2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48899_T1187s_1_correlation-CH2_2 fitted model: ,2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48889_T1067s_1_correlation-CH2_2,2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48889_T1067s_1_correlation-CH2_2 fitted model: ,2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4885_T51s_1_correlation-CH2_2,2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4885_T51s_1_correlation-CH2_2 fitted model: ,
0.02457,0.2250271067037779,0.22360492567186008,0.17544055091734645,0.17526337927123067,0.265823743402944,0.26630709319007745,
0.028666,0.223262335212697,0.222430359536847,0.17459096588768808,0.17404729864159377,0.2645258693618555,0.2651751619523877,
0.032762,0.22221172831071834,0.2214237805895936,0.17340782673117472,0.17300295313136207,0.2635617101593757,0.2641644746767494,
0.036858,0.2212965673666969,0.2205480791446696,0.1722532741420595,0.17209216532467103,0.26260223808257654,0.2632548969395878,
0.040954,0.2197774345752792,0.2197763316402701,0.17163636033645457,0.1712873053374683,0.2616961598076182,0.26243052096093505,
0.04505,0.21899385380945313,0.21908853016709998,0.17072639930416234,0.1705678836201676,0.2613614507907238,0.2616786118300379,
0.049146,0.21868300557052467,0.21846949602801202,0.16969569137398377,0.16991838436945456,0.2610983316235107,0.26098885402584954,
0.057338,0.2174190297066112,0.2173933605734215,0.16805291166722536,0.16878388376303524,0.2601914172093731,0.2597634790340066,
0.06553,0.21569915210295454,0.21648075476959572,0.1669039198190685,0.16781537085101783,0.25854027267938706,0.2587026663704953,
0.073722,0.2150602735504903,0.21568831524916962,0.16642169650700023,0.16696876836731708,0.25827560151347684,0.2577699827150888,
0.081914,0.21477534376475926,0.2149867972919171,0.16521140754505725,0.1662144045500575,0.2573639151631102,0.2569390263963952,
0.090106,0.2142060337998688,0.21435576154645236,0.16493002268618473,0.16553157255300882,0.2564065000320055,0.2561901970781169,
0.098298,0.21318687694508043,0.2137804922212645,0.16382986589262893,0.1649053823815112,0.25605736400739554,0.255508638158037,
0.114682,0.21202433136367715,0.21275646411725807,0.16244507330479552,0.16378170541679365,0.2552926246129932,0.2543039425728997,
0.131066,0.21070000867574112,0.21185544596687192,0.16110449036962304,0.16278352869161045,0.2538911743189265,0.25325929883207987,
0.14745,0.20951246125705536,0.21104154899232913,0.16000290233870085,0.16187465904023227,0.2528809462225856,0.2523323765791129,
0.163834,0.20843218656309337,0.21029177159174187,0.15915739044618293,0.16103191881128734,0.2518486058463736,0.25149465195495824,
0.180218,0.20752117633466072,0.20959069209615044,0.15830538292622953,0.16023977541854653,0.2514159464896717,0.25072620288559566,
0.196602,0.20701135665267745,0.20892758445153067,0.15743287647533655,0.15948742709665792,0.25068559830542547,0.2500126937309075,
0.22937,0.2057166799370651,0.20768655297845767,0.15584218221146773,0.15807317322977543,0.2493060012325783,0.2487107796705314,
0.262138,0.20402171116122036,0.20652797930118572,0.1547589904181299,0.15674813201862456,0.2482569403551178,0.24753122023872445,
0.294906,0.2030770010484264,0.20542817530391463,0.15357064481673155,0.15548837297600807,0.24714783195926104,0.24643909459532717,
0.327674,0.20218359412542664,0.2043724110185281,0.15242466520118914,0.15427896166941205,0.2460259135394689,0.2454120228001157,
0.360442,0.20118292409098926,0.20335103932316248,0.15167115162913136,0.15311006607286629,0.24504849347316648,0.24443499649228523,
0.39321,0.20024162032513138,0.20235747119750463,0.15057228093573594,0.1519749239637053,0.24429747557882986,0.2434975715746424,
0.458746,0.19841555451739157,0.20043637201690062,0.14879497234470684,0.14978787231234125,0.24263844273923563,0.24171351952998807,
0.524282,0.19645815568509084,0.19858472528625393,0.1471714573767442,0.14769216745877567,0.24099298078493914,0.24002013752603166,
0.589818,0.19488959865514044,0.1967884538397489,0.14587095393033422,0.1456725594357592,0.23945439162033288,0.23839421377400336,
0.655354,0.1932365762938717,0.19503876577468388,0.14432408083498371,0.14371915145614997,0.2379836420742072,0.23682123398714228,
0.72089,0.19156752898418716,0.1933298069439339,0.14266799012766396,0.1418250469786251,0.23630700304048613,0.23529161955843747,
0.786426,0.1900574252499776,0.1916574635958129,0.14122247825709167,0.13998514836317325,0.2349466411415002,0.23379876285311113,
0.917498,0.18682571613492827,0.1884112199571534,0.13811820184603718,0.13645290166063176,0.23188077998418666,0.2309056277011413,
1.04857,0.18412949385338928,0.18528301629219804,0.13544866994215576,0.13309856509208295,0.22910455511511874,0.22811653318452588,
1.179642,0.18200963505630008,0.18226160524230287,0.13266566489472975,0.12990479799069632,0.2264082442111255,0.22541626031784798,
1.310714,0.17957940204735512,0.17933874677308273,0.13030369496477245,0.12685791603107252,0.22376422841775234,0.22279479112528297,
1.441786,0.1772936900855857,0.17650793721296523,0.1278518631877077,0.12394654469972954,0.22091326985413873,0.22024502963903692,
1.572858,0.1750907680811089,0.17376376582015343,0.12538675242137098,0.1211609094253372,0.2183420199561812,0.21776163766690068,
1.835002,0.17073619806051687,0.16851719215787997,0.12071698009581122,0.11593343940029756,0.2131147053609097,0.21297783819891686,
2.097146,0.16637508682053448,0.1635673604586616,0.11614492104021568,0.11111703244798356,0.2080079496445013,0.2084173699174841,
2.35929,0.16217266211363057,0.15888800273711579,0.11161602379374957,0.10666367715833636,0.20311967011160048,0.20406071325967054,
2.621434,0.1582546740720272,0.15445655113030105,0.10760613683973319,0.10253308611294007,0.19835866327473695,0.1998920744549914,
2.883578,0.15447840268231605,0.1502532342770656,0.10338117356733867,0.09869098563777101,0.1935004188979288,0.19589806597236134,
3.145722,0.15120672914448785,0.14626052270661072,0.09910054366606125,0.09510793173550103,0.18900156210325902,0.19206700540473037,
3.67001,0.14511988441231316,0.13884583393432762,0.0898370754098341,0.0886202986598755,0.18123333483640036,0.18485321573303096,
4.194298,0.13903134703851827,0.1321049014528575,0.08153427198386565,0.0829026490271823,0.17384594392569563,0.1781790244682258,
4.718586,0.13267158787023559,0.12594946376473998,0.07386074709312229,0.07782541587747786,0.16768130025767958,0.17198470097199522,
5.242874,0.12680212984799644,0.12030622580156317,0.06785382962442177,0.07328668681071052,0.1623511132840505,0.1662195555560104,
5.767162,0.12134195473302567,0.11511373168926263,0.06404680218792391,0.0692051448258378,0.1570183153732687,0.16084006659294767,
6.29145,0.11670552043486837,0.11032002905425436,0.06051887358898589,0.06551509154350271,0.15214299955937594,0.15580855100159435,
7.340026,0.1093241529218778,0.10175837898227137,0.05460573300170912,0.05910416334941994,0.14323327630477678,0.14666211663032475,
8.388602,0.10197776424244664,0.09433693117399448,0.049411611667504074,0.05372588227938828,0.13468183603151584,0.1385625534650821,
9.437178,0.09387192360772434,0.08784238642706428,0.045387218080135794,0.049149863533763355,0.12778654405373358,0.13133972641297514,
10.485754,0.08619972287505062,0.0821115618223672,0.04207522492800009,0.04520952150163282,0.12177468723710816,0.12485860544040842,
11.53433,0.07999023182464793,0.07701747086730033,0.03859797002785048,0.04178140559176898,0.1158472561665378,0.11901059831470504,
12.582906,0.07479461073441396,0.07245980707749201,0.036062656648384595,0.03877208356476538,0.11164094044111117,0.11370735671176288,
14.680058,0.06330917673277159,0.06464787256227462,0.03114515726339362,0.033737365161238,0.10826488470958884,0.10445704289484807,
16.77721,0.05223739767055835,0.0581967151648846,0.027368275947082132,0.02969366791526517,0.10478199244128739,0.09666052027308884,
18.874362,0.04278097414011284,0.052780298209233086,0.024429211950128593,0.026375981914304125,0.09947932301440776,0.090000728304812,
20.971514,0.035209537819219205,0.04816901458956866,0.022617921207933156,0.023605997815791178,0.09511171923692263,0.08424656512778834,
23.068666,0.02881696134862488,0.044196489178527615,0.020335104468993004,0.02125933315376208,0.09167468195056161,0.07922559598449712,
25.165818,0.02390433207160192,0.040739213647844885,0.018624718555367847,0.019246580694318966,0.08466135348927306,0.07480654359164382,
29.360122,0.020039404449155862,0.035017332557893924,0.016918109518584856,0.01597540081348886,0.0669017346459182,0.06738903641106551,
33.554426,0.01957935819860568,0.03047805448673039,0.01613028299585273,0.01343341487446852,0.06093836619269588,0.061409260438517486,
37.74873,0.017647842154456583,0.026791317361872645,0.01693402240492925,0.011403643888177706,0.0576736417667838,0.05648797377830053,
41.943034,0.015927582267630802,0.023739318110952572,0.017794437764252713,0.009747255708410616,0.0577988517929815,0.052368465424958814,
46.137338,0.016169856458402743,0.021172533825198556,0.016376627374915298,0.008371305518953865,0.056919727624848315,0.04887076972880513,
50.331642,0.013822904835289584,0.018984915323454584,0.011715901343803958,0.007211236117858873,0.05159667350993136,0.045864983888340066,
58.72025,0.012206618223050691,0.015457604064361571,0.0062488500126740565,0.005366082372038672,0.04013400952042945,0.0409681617730868,
