,20 nM AF48897_T1160s_1_CH2_BIN1.0_PREPRO,20 nM AF48896_T1142s_1_CH2_BIN1.0_PREPRO,20 nM AF4887_T74s_1_CH2_BIN1.0_PREPRO
210,0.33802816,0.3939394,0.36615384
211,0.4197183,0.22727273,0.39076924
212,0.48450705,0.5030303,0.5507692
213,0.53239435,0.3909091,0.6523077
214,0.31549296,0.26060605,0.43384615
215,0.45915493,0.003030303,0.5507692
216,0.6028169,0.28484848,0.25538462
217,0.371831,0.3,0.40923077
218,0.4225352,0.2090909,0.3353846
219,0.44225353,0.14848486,0.17846154
220,0.5267606,0.34242424,0.42461538
221,0.5070422,0.24545455,0.5292308
222,0.51267606,0.47272727,0.47384617
223,0.4338028,0.37575758,0.51076925
224,0.4394366,0.4909091,0.5846154
225,0.3915493,0.42727274,0.4953846
226,0.32112676,0.36363637,0.51692307
227,0.30140844,0.54545456,0.28923076
228,0.2056338,0.5181818,0.3876923
229,0.5070422,0.5090909,0.34153846
230,0.3915493,0.35151514,0.2676923
231,0.36619717,0.8515152,0.47384617
232,0.55774647,0.57878786,0.29538462
233,0.51267606,0.6212121,0.23692308
234,0.3887324,0.3212121,0.29538462
235,0.4225352,0.3969697,0.2276923
236,0.35492957,0.5212121,0.1323077
237,0.4084507,0.16969697,0.24307692
238,0.35211268,0.44242424,0.28615385
239,0.29577464,0.42727274,0.38153845
240,0.1971831,0.5272727,0.5538462
241,0.32676056,0.5151515,0.4276923
242,0.371831,0.21818182,0.31076923
243,0.32112676,0.5090909,0.31384614
244,0.54647887,0.47878787,0.27384615
245,0.43661973,0.34848484,0.39692307
246,0.27887323,0.2,0.45846155
247,0.47887325,0.18787879,0.45846155
248,0.50985914,0.47575757,0.39076924
249,0.4338028,0.33636364,0.44923076
250,0.32676056,0.35757574,0.4923077
251,0.4394366,0.43030304,0.39692307
252,0.6225352,0.35454544,0.40307692
253,0.45633802,0.27575758,0.3723077
254,0.5070422,0.44848484,0.48615384
255,0.46478873,0.4212121,0.21538462
256,0.47042254,0.27575758,0.12923077
257,0.24788733,0.54545456,0.32923076
258,0.4084507,0.54242426,0.25846153
