Time (ms),af488_noc,af488_noc fitted model: ,af488luv_noc,af488luv_noc fitted model: ,af488luv_0cd20,af488luv_0cd20 fitted model: ,af488luv_thr-2,af488luv_thr-2 fitted model: ,
0.00281,0.06536679767106378,0.06557318807480975,0.23557001880505082,0.2229391566376136,0.0471900066039675,0.046573906377364964,0.05372957032812194,0.05194188763983596,
0.003066,0.06608975719735427,0.06518645103412293,0.23646877317371365,0.22293158410745606,0.048021012137404194,0.04641807633243868,0.05449265516598365,0.05184776683947582,
0.003578,0.06400154968223026,0.06442620728701323,0.23514178411945483,0.22291644062876684,0.04650239256525228,0.04610961614485099,0.05311428160154232,0.051660693277699565,
0.00409,0.06324822673731853,0.06368310707076494,0.23502657911820612,0.22290129925854535,0.04637305841481944,0.04580535002449474,0.05299096197768604,0.05147516107106708,
0.004602,0.06207608917345303,0.06295657734104827,0.23431746256487487,0.22288615999635128,0.04543054457030072,0.0455051930623742,0.05205098295036239,0.05129115125949397,
0.005114,0.06142423694934555,0.062246070311156365,0.2341061707163493,0.22287102284174481,0.045144958401157516,0.0452090626260608,0.051954714603755836,0.05110864519258827,
0.005626,0.06037883155821331,0.06155106207559781,0.2336278612694572,0.2228558877942861,0.04454798439112375,0.04491687828390261,0.05133760078638955,0.05092762452335305,
0.006138,0.0595099838185157,0.06087105132272712,0.23322081454789445,0.22284075485353555,0.04407136045920071,0.044628561732241445,0.05088840214702289,0.050748071202042035,
0.007162,0.058116599424813155,0.0595541228341226,0.2325633305707746,0.22281049529040023,0.04315655756047636,0.04406322900900426,0.050143944858880456,0.050393295854631696,
0.008186,0.05664476707134532,0.05829168230328824,0.23192840284195482,0.22278024414882375,0.04240312192864169,0.043512477997720955,0.049449244598534406,0.05004418047314787,
0.00921,0.05541005963086911,0.0570804190341504,0.23114998101794385,0.222750001425293,0.041570121776515694,0.04297575208731359,0.04862846357004988,0.04970059076735243,
0.010234,0.05413914740792339,0.05591728520984388,0.2306261620521912,0.22271976711629654,0.04087882331797962,0.042452522639265834,0.04801161488573029,0.04936239666186579,
0.011258,0.052931775905048745,0.05479947030885451,0.230033317096954,0.22268954121832515,0.04015846501961712,0.04194228725222193,0.047341444003649556,0.04902947213209402,
0.012282,0.05179199343442347,0.05372437845195384,0.2294747386595267,0.22265932372787148,0.03959815653448651,0.04144456815419818,0.04683708912000353,0.04870169504776106,
0.01433,0.05000322137134455,0.051692935143760825,0.22854519986679497,0.22259891395549736,0.03839692608810004,0.040484882045205096,0.04574027176019972,0.04806111327708526,
0.016378,0.0481351524749378,0.0498057703068512,0.22762204398941513,0.2225385377711543,0.03731064824136848,0.03957008067158633,0.04472384087481501,0.047439746689178525,
0.018426,0.04643826335477352,0.04804805404211619,0.2267328211400665,0.22247819514685344,0.03631328217371022,0.03869708942268566,0.04383092937358343,0.04683674405693878,
0.020474,0.044900836468957546,0.04640692146089191,0.2259367883406917,0.22241788605463697,0.03539483040826246,0.03786310822559814,0.043005168712191094,0.04625130369918133,
0.022522,0.04343196214507038,0.04487115765821072,0.22518793051030733,0.2223576104665783,0.034543646865545605,0.037065581571817,0.042229173433279775,0.0456826699275518,
0.02457,0.04213699558251212,0.04343094140857849,0.2244234385215681,0.22229736835478164,0.033725637947102774,0.036302172386866685,0.04148191406726917,0.04513012979487861,
0.028666,0.03985357846010576,0.04080361210859544,0.2231155926581271,0.2221769844485465,0.03232657382379723,0.03486931600415609,0.04019488156652511,0.04407067473169813,
0.032762,0.03767936087512754,0.03846712279383082,0.22189121683716315,0.22205673411338428,0.031093689483790207,0.033549409998014985,0.03903031879427376,0.04306798249172417,
0.036858,0.035768294892284135,0.03637577352251494,0.2207979944655784,0.22193661712724122,0.029955228299362358,0.03232961771035997,0.037960979818135065,0.04211761383212608,
0.040954,0.0340835908214157,0.034492961634467925,0.21980484468589453,0.2218166332685552,0.02890192160964372,0.031198976556250403,0.03699945035101925,0.041215580639875585,
0.04505,0.0325786417946677,0.03278902538303835,0.2189781636944872,0.22169678231625484,0.02795950807244,0.030148068063802002,0.036137845644438525,0.040358290045141264,
0.049146,0.03121022046587709,0.031239673165372073,0.21823936170009559,0.22157706404975805,0.02717097670235361,0.029168755256360653,0.03541404413589094,0.039542496641793656,
0.057338,0.028800673200250735,0.02852771864347999,0.2169320888054574,0.22133802469428385,0.02571383405507323,0.02739755184826366,0.034069636025749,0.03802391670590022,
0.06553,0.026795464116044228,0.026232603585529583,0.21587475099672068,0.2210995134472077,0.02445819076833467,0.02583883011381265,0.0329456403360683,0.03663940326703166,
0.073722,0.025029063834834116,0.024265284861352758,0.2150633621715803,0.22086152856134558,0.02343044456387139,0.024456571001606708,0.031994349674103244,0.035371970974998834,
0.081914,0.023442437943203883,0.02256039047112667,0.214306601342231,0.22062406829721237,0.02252355161552944,0.023222460435441503,0.031150106101150907,0.03420738731590475,
0.090106,0.02209816387287209,0.02106884396829173,0.21361216328336163,0.22038713092297868,0.02168177723487967,0.02211393366072651,0.03038874207349182,0.03313363663595288,
0.098298,0.020922800881624824,0.019753084850871787,0.21299058583428862,0.22015071471442949,0.020959783434167645,0.02111278646775913,0.02972707026607522,0.03214050469697368,
0.114682,0.018912920277214397,0.017538128218423845,0.21166239050822572,0.2196794389353437,0.01969900936975261,0.019375853680983043,0.02855152831446073,0.03036236287956145,
0.131066,0.017236674620416708,0.01574656665618847,0.21042556656655326,0.2192102273169336,0.018648650997882096,0.017921095555779712,0.02758116551006381,0.02881648888531326,
0.14745,0.015831936476407512,0.01426809695695603,0.2092892685594563,0.2187430663353563,0.017737805477085075,0.016685082910305092,0.026717572630968477,0.02746023406133196,
0.163834,0.014647493742063483,0.01302765013591115,0.20832564177539262,0.21827794258464858,0.016995093730307328,0.015622068113782427,0.026009712750663105,0.026260787892623004,
0.180218,0.013616380937151402,0.011972364201489968,0.2074899974057843,0.21781484277544555,0.016329941171566883,0.014698225464864477,0.025388459293267773,0.025192495889927988,
0.196602,0.012764388861790425,0.011063938794862263,0.20673194945196405,0.21735375373371563,0.01576533479521666,0.01388800524224722,0.024848867773664823,0.024235009557659785,
0.22937,0.011301020734872862,0.009580837444247932,0.20522356811834674,0.21643755582574145,0.014798514007584722,0.012534082523152808,0.023933502739271115,0.022590130760918172,
0.262138,0.010137203271969344,0.008422373173693485,0.20379233732584334,0.21552924572810206,0.013993659985497542,0.011448139762926765,0.023157403579609773,0.02122820778235423,
0.294906,0.00919022832183446,0.007493394151896774,0.2025605153407092,0.2146287220752679,0.013330298327596057,0.010558168184538409,0.022511503352831398,0.020082218878186883,
0.327674,0.008393641968125537,0.006732563925730874,0.20142952975528947,0.2137358852311176,0.01275872348944077,0.0098158206312124,0.02198657307523886,0.01910475420704468,
0.360442,0.007712409044015627,0.006098570602678729,0.20032257419182245,0.212850637252213,0.012276669211678928,0.009187431482285447,0.021505707934506284,0.01826133150859261,
0.39321,0.007140222765540112,0.0055625756159636474,0.19928127850837127,0.2119728818520055,0.011852572946250008,0.008648837730091223,0.021110754768256662,0.017526271168017242,
0.458746,0.006220897395674863,0.004707067540008161,0.19732045645448099,0.21023947171747898,0.011145606302246697,0.007774271749037347,0.020422974714070084,0.01630758724377953,
0.524282,0.0054899414858447125,0.0040559934004686165,0.19549890164921865,0.20853491636890162,0.010573096184825053,0.00709534433080877,0.019871647323535663,0.015338848896486923,
0.589818,0.004913924097905613,0.0035451067346331474,0.19376779683086895,0.206858501714051,0.01008816846116567,0.006553674408027077,0.019405112362124857,0.014550763413343623,
0.655354,0.004443079187146644,0.0031344049093392514,0.19213332082931772,0.20520953703033937,0.009671455491457731,0.006111960109981055,0.01901986428913542,0.013897462603008576,
0.72089,0.004054140855006241,0.0027976960303062754,0.1905687508744809,0.20358735401656927,0.00933052439583617,0.005745257416628961,0.018692677551511362,0.013347377224052723,
