$D$ in $\frac{{\mu m^2}}{{s}}$,$\tau_{{D}}$ in $ms$,Trace lengths,folder_id-traces_used,Photon count bin for correlation in $ns$
24.507577837563677,0.45990081441950836,8192.0,0-orig,100000.0
21.724255364783595,0.5188235369952484,8192.0,0-orig,100000.0
20.869351181497812,0.5400769247171244,8192.0,0-orig,100000.0
21.059615672482373,0.5351975640121673,8192.0,0-orig,100000.0
21.755525336597586,0.5180778139144556,8192.0,0-orig,100000.0
21.066841063210063,0.5350140048584767,8192.0,0-orig,100000.0
19.801963613184075,0.5691887545657746,8192.0,0-orig,100000.0
21.382196577549145,0.5271233461009052,8192.0,0-orig,100000.0
22.311736937099774,0.5051625984440328,8192.0,0-orig,100000.0
20.52719678698774,0.5490791131349112,8192.0,0-orig,100000.0
23.481582066515244,0.4799955546018154,8192.0,0-orig,100000.0
29.20792075629517,0.3858903583376705,8192.0,0-orig,100000.0
22.65840751372278,0.49743367887257106,8192.0,0-orig,100000.0
20.089341954192754,0.5610465008084895,8192.0,0-orig,100000.0
24.96251146087119,0.4515192721939232,8192.0,0-orig,100000.0
21.4123793124258,0.5263803168480362,8192.0,0-orig,100000.0
27.53768675098133,0.40929563579059064,8192.0,0-orig,100000.0
21.278549147087944,0.5296909544459011,8192.0,0-orig,100000.0
19.543805880991336,0.5767072736793534,8192.0,0-orig,100000.0
20.41650979000004,0.55205591567201,8192.0,0-orig,100000.0
21.490664833397854,0.5244628351110429,8192.0,0-orig,100000.0
21.418885006110873,0.526220436018465,8192.0,0-orig,100000.0
18.778404822169595,0.6002136557221588,8192.0,0-orig,100000.0
19.557049439673282,0.5763167415264928,8192.0,0-orig,100000.0
22.572922613475413,0.4993174875909298,8192.0,0-orig,100000.0
20.507330641473217,0.5496110246621221,8192.0,0-orig,100000.0
22.016851341187174,0.5119285601869935,8192.0,0-orig,100000.0
21.03091201054455,0.5359280187798754,8192.0,0-orig,100000.0
19.81180954965246,0.5689058830642123,8192.0,0-orig,100000.0
22.686841292927,0.49681023732726365,8192.0,0-orig,100000.0
20.60216088728821,0.5470812051516115,8192.0,0-orig,100000.0
24.713552028315004,0.4560677879906323,8192.0,0-orig,100000.0
24.61313576034267,0.45792844587910037,8192.0,0-orig,100000.0
19.47807871788796,0.5786533246009576,8192.0,0-orig,100000.0
24.138293315822196,0.46693669927181897,8192.0,0-orig,100000.0
20.762282159413086,0.5428620476499507,8192.0,0-orig,100000.0
21.82333637778358,0.5164680052505215,8192.0,0-orig,100000.0
20.90225418769354,0.5392267697893082,8192.0,0-orig,100000.0
23.30751178251954,0.4835803629368209,8192.0,0-orig,100000.0
20.278197772386626,0.5558213374510593,8192.0,0-orig,100000.0
