Time (ms),2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000015_T309s_1_correlation-CH2_2,2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000015_T309s_1_correlation-CH2_2 fitted model: ,2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000016_T331s_1_correlation-CH2_2,2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000016_T331s_1_correlation-CH2_2 fitted model: ,2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000017_T353s_1_correlation-CH2_2,2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000017_T353s_1_correlation-CH2_2 fitted model: ,
0.015,0.5950280645585924,0.6052692169710634,0.5851602849341713,0.6091515018236109,0.5768694337336364,0.5939354310700875,
0.016,0.6079735642177833,0.6030547111798992,0.6212390573338303,0.6066900402070572,0.5824089573964711,0.5915542413164248,
0.018000000000000002,0.5942189087344962,0.598673533966077,0.5989904281261731,0.601825687651003,0.5803554634705861,0.5868480365276052,
0.02,0.5967472905172183,0.5943549967832196,0.5977877613445427,0.5970378939431924,0.5700404049476543,0.5822152713123562,
0.022,0.5901733513889204,0.5900977666158786,0.5680227078485791,0.5923248669352161,0.5683211923515158,0.5776542410535067,
0.024,0.5795033658986172,0.5859005480044476,0.5803495905700812,0.5876848699802831,0.5574330739720088,0.5731632934824865,
0.026000000000000002,0.5638271004937039,0.5817620817318087,0.5594561423643799,0.5831162198011711,0.5289234615109717,0.5687408266851135,
0.028,0.5545224588566674,0.5776811435647137,0.5868659756559588,0.5786172844557079,0.5471201501131405,0.5643852871978552,
0.03,0.5706031885754664,0.5736565430472507,0.561059557291033,0.5741864813946185,0.5493645771402454,0.5600951681898112,
0.032,0.5453189068332422,0.5696871223439054,0.5656194756206364,0.5698222756068833,0.5347537685267431,0.5558690077259476,
0.036000000000000004,0.5438798627945037,0.561909345526223,0.5405145367387757,0.5612877429471402,0.5275427090554284,0.5476029292847232,
